Marq-Piper,Ser-Marq-Piper,Marq-Piper,Ser-Marq,Marq,,,,,,,,
Martyn-Lannister,Martyn-Lannister,Martyn,,,,,,,,,,
Marya,Lady-Marya,Marya,,,,,,,,,,
Mathis-Rowan,Lord-of-Goldengrove,Lord-Mathis-Rowan,Mathis-Rowan,Lord-Mathis,Lord-Rowan,Mathis,,,,,,
Meera-Reed,Meera-Reed,Meera,,,,,,,,,,
Melisandre,Melisandre-of-Asshai,Lady-Melisandre,Melisandre,red-priestess,red-woman,,,,,,,
Mero,Mero-of-Braavos,Mero,Titan-Bastard,,,,,,,,,
Merrett-Frey,Merrett-Muttonhead,Merrett-Frey,Ser-Merrett,Merrett,,,,,,,,
Meryn-Trant,Ser-Meryn-Trant,Meryn-Trant,Ser-Meryn,Meryn,,,,,,,,
Missandei,Missandei,,,,,,,,,,,
Mordane,Septa-Mordane,Mordane,,,,,,,,,,
Mully,Mully,,,,,,,,,,,
Mycah,Mycah,,,,,,,,,,,
Myrcella,Princess-Myrcella,Queen-Myrcella,Myrcella,,,,,,,,,
Nan,Old-Nan,Nan,,,,,,,,,,
Nestor-Royce,Nestor-Royce,Lord-Nestor,Nestor,,,,,,,,,
Notch,Notch,,,,,,,,,,,
Oberyn-Martell,Oberyn-Nymeros-Martell,Prince-Oberyn-of-Dorne,Prince-Oberyn-Martell,Red-Viper-of-Dorne,Oberyn-of-Dorne,Oberyn-Martell,Prince-Oberyn,Red-Viper,Oberyn,,,
Olenna-Tyrell,Lady-Olenna-Tyrell,Queen-of-Thorns,Olenna-Tyrell,Lady-Olenna,Olenna,,,,,,,
Olyvar-Frey,Olyvar-Frey,Olyvar,,,,,,,,,,
Orell,Orell,,,,,,,,,,,
Osfryd,Ser-Osfryd,Osfryd,,,,,,,,,,
Osmund-Kettleblack,Ser-Osmund-of-the-Kingsguard,Ser-Osmund-Kettleblack,Osmund-Kettleblack,Ser-Osmund,Osmund,,,,,,,
Osney-Kettleblack,Osney-Kettleblack,Ser-Osney,Osney,,,,,,,,,
Oswell-Whent,Ser-Oswell-Whent,Oswell-Whent,Oswell,,,,,,,,,
Othell-Yarwyck,Othell-Yarwyck,Yarwyck,Othell,,,,,,,,,
Ottyn-Wythers,Ser-Ottyn-Wythers,Ottyn-Wythers,Ser-Ottyn,Ottyn,,,,,,,,
Owen,Owen-the-Oaf,Owen,Oaf,,,,,,,,,
Oznak-zo-Pahl,Oznak-zo-Pahl,Oznak,,,,,,,,,,
Patchface,Patchface,,,,,,,,,,,
Patrek-Mallister,Patrek-Mallister,Patrek,,,,,,,,,,
Paul,Small-Paul,Paul,,,,,,,,,,
Paxter-Redwyne,Paxter-Redwyne-of-the-Arbor,Lord-Paxter-Redwyne,Paxter-Redwyne,Lord-Redwyne,Paxter,,,,,,,
Perwyn-Frey,Ser-Perwyn-Frey,Perwyn-Frey,Ser-Perwyn,Perwyn,,,,,,,,
Petyr-Baelish,Petyr-Littlefinger,Lord-Littlefinger,Petyr-Baelish,Lord-Baelish,Littlefinger,Lord-Petyr,Baelish,Petyr,,,,
Petyr-Pimple,Petyr-Pimple,Pimple,,,,,,,,,,
Podrick-Payne,Podrick-Payne,Podrick,Pod,,,,,,,,,
Polliver,Polliver,,,,,,,,,,,
Porridge,Porridge,,,,,,,,,,,
Prendahl-na-Ghezn,Prendahl-na-Ghezn,Prendahl,,,,,,,,,,
Pyat-Pree,Pyat-Pree,Pree,Pyat,,,,,,,,,
Pycelle,Grand-Maester-Pycelle,Maester-Pycelle,Pycelle,,,,,,,,,
Pylos,Maester-Pylos,Pylos,,,,,,,,,,
Pyp,Pyp,,,,,,,,,,,
Qhorin-Halfhand,Qhorin-Half-hand,Qhorin-Halfhand,Half-hand,Halfhand,Qhorin,,,,,,,
Qyburn,Qyburn,,,,,,,,,,,
Raff,Raff-the-Sweetling,Raff,,,,,,,,,,
Rakharo,Rakharo,,,,,,,,,,,
Ramsay-Snow,Ramsay-Snow,Ramsay,Bastard-of-Bolton,,,,,,,,,
Randyll-Tarly,Lord-Randyll-Tarly,Randyll-Tarly,Lord-Randyll,Lord-Tarly,Randyll,,,,,,,
Rattleshirt,Lord-of-Bones,Rattleshirt,,,,,,,,,,
Raymun-Darry,Ser-Raymun-Darry,Raymun-Darry,Raymun,,,,,,,,,
Raymun-Redbeard,Raymun-Redbeard,,,,,,,,,,,
Raynald-Westerling,Ser-Raynald-Westerling,Raynald-Westerling,Ser-Raynald,Raynald,,,,,,,,
Renly-Baratheon,Lord-Renly-Baratheon,Renly-Baratheon,Lord-Renly,King-Renly,Renly,Lord-of-Storm-End,king-Renly,,,,,
Rhaegal,Rhaegal,,,,,,,,,,,
Rhaegar-Targaryen,Rhaegar-Prince-of-Dragonstone,Prince-Rhaegar-Targaryen,Rhaegar-Targaryen,Prince-Rhaegar,Rhaegar,,,,,,,
Rhaella-Targaryen,Queen-Rhaella,Princess-Rhaella,queen-Rhaella,Rhaella,,,,,,,,
Rhaenys,Princess-Rhaenys,Rhaenys,,,,,,,,,,
Rickard-Karstark,Lord-Rickard-Karstark,Lord-Rickard-Stark,Rickard-Karstark,Lord-Karstark,Rickard-Stark,Lord-Rickard,Rickard,,,,,
Rickon,Rickon,,,,,,,,,,,
Robar-Royce,Ser-Robar-Royce,Robar-Royce,Ser-Robar,Robar,,,,,,,,
Robb-Stark,Young-Wolf-Robb-Stark,King-of-the-Trident,Robb-of-Winterfell,Young-Wolf,Robb-Stark,King-Robb,Robb,king-Robb,King-in-the-North,,,
Robert-Arryn,Lord-of-the-Eyrie,Robert-Arryn,Lord-Robert,,,,,,,,,
Robert-Baratheon,Usurper-Robert-Baratheon,Robert-the-Usurper,Robert-Baratheon,King-Robert,Usurper,Robert,king-Robert,,,,,
Robett-Glover,Robett-Glover,Robett,,,,,,,,,,
Robin-Flint,Robin-Flint,,,,,,,,,,,
Robin-Ryger,Robin-Ryger,Ser-Robin,,,,,,,,,,
Rodrik-Cassel,Rodrik-Cassel,Ser-Rodrik,Cassel,,,,,,,,,
Rollam-Westerling,Rollam-Westerling,Rollam,,,,,,,,,,
Rolph-Spicer,Ser-Rolph-Spicer,Rolph-Spicer,Ser-Rolph,Rolph,,,,,,,,
Ronnel-Stout,Ronnel-Harclay,Ronnel-Stout,Ronnel,,,,,,,,,
Roose-Bolton,Lord-Roose-Bolton-of-the-Dreadfort,Lord-of-the-Dreadfort,Roose-Bolton,Lord-Bolton,Lord-Roose,Roose,,,,,,
