,Joffrey B Encounters:,,,
,Eddard S (Ned), Joffrey B (Joffrey),1029742," ""abandon Joffrey easily. The need for deceit was a bitter taste in his mouth; but Ned"""
,Petyr B (Littlefinger), Joffrey B (Joffrey),1031749," ""the far end of the hall; where Joffrey waited atop the Iron Throne. Supported by Littlefinger"""
,Eddard S (Ned), Joffrey B (Joffrey),1031754," ""far end of the hall; where Joffrey waited atop the Iron Throne. Supported by Littlefinger; Ned"""
,Joffrey B (Joffrey), Jaime L (Jaime Lannister),1032051," ""from the walls as he forced Jaime Lannister down from the throne. He wondered if Joffrey"""
,Jaime L (Jaime), Joffrey B (Joffrey),1032134," ""Joffrey would step down quite so easily.  Five knights of the Kingsguard•À_all but Ser Jaime"""
,Joffrey B (Joffrey), Petyr B (Littlefinger),1033524," ""he stopped. He kept a hand on Littlefinger's shoulder to help support his weight.  Joffrey"""
,Joffrey B (Joffrey), Robert B (Robert),1034827," ""no claim to the throne he sits. Lord Stannis is Robert's true heir.""  ""Liar!"" Joffrey"""
,Joffrey B (Joffrey), Stannis B (Lord Stannis),1034827," ""no claim to the throne he sits. Lord Stannis is Robert's true heir.""  ""Liar!"" Joffrey"""
,Myrcella (Princess Myrcella), Joffrey B (Joffrey),1034905," ""heir.""  ""Liar!"" Joffrey screamed; his face reddening.  ""Mother; what does he mean?"" Princess Myrcella"""
,Cersei L (the queen), Joffrey B (Joffrey),1034921," ""Joffrey screamed; his face reddening.  ""Mother; what does he mean?"" Princess Myrcella asked the queen"""
,Joffrey B (Joff), Cersei L (the queen),1034946," ""face reddening.  ""Mother; what does he mean?"" Princess Myrcella asked the queen plaintively. ""Isn't Joff"""
,Joffrey B (Joff), Myrcella (Princess Myrcella),1034946," ""face reddening.  ""Mother; what does he mean?"" Princess Myrcella asked the queen plaintively. ""Isn't Joff"""
,Robert B (the king), Joffrey B (Joff),1034955," "" ""Mother; what does he mean?"" Princess Myrcella asked the queen plaintively. ""Isn't Joff the king"""
,Cersei L (Cersei), Joffrey B (Joff),1035030," ""Joff the king now?""  ""You condemn yourself with your own mouth; Lord Stark;"" said Cersei"""
,Joffrey B (Prince Joffrey), Cersei L (the queen),1065508," ""will. Tell her I want to see her; please. If not the queen; then Prince Joffrey"""
,Robert B (the king), Joffrey B (Joffrey),1066347," ""heard?  She went to sleep wondering; restless; and fearful. Was her beautiful Joffrey the king"""
,Joffrey B (Joffrey), Sansa S (Sansa),1066509," ""only they would tell her what was happening •À_  That night Sansa dreamt of Joffrey"""
,Joffrey B (Joffrey), Cersei L (Cersei),1067744," ""two mornings past. ""To keep you safe; my sweet one;"" Queen Cersei had told her. ""Joffrey"""
,Sansa S (Sansa), Joffrey B (Joffrey),1067813," ""had told her. ""Joffrey would never forgive me if anything happened to his precious.""  Sansa"""
,Joffrey B (Joffrey), Mandon M (Ser Mandon),1068693," ""Ser Mandon of the curiously dead face; ""I've brought the girl.""  Sansa had hoped Joffrey"""
,Joffrey B (Joffrey), Sansa S (Sansa),1068693," ""Ser Mandon of the curiously dead face; ""I've brought the girl.""  Sansa had hoped Joffrey"""
,Robert B (the king), Joffrey B (Joffrey),1068760," ""hoped Joffrey might be with her. Her prince was not there; but three of the king"""
,Sansa S (Sansa), Joffrey B (Joffrey),1072312," ""I do hope you know how much Joffrey and I love you.""  ""You do?"" Sansa"""
,Petyr B (Littlefinger), Joffrey B (Joffrey),1072343," ""you know how much Joffrey and I love you.""  ""You do?"" Sansa said; breathless. Littlefinger"""
,Joffrey B (Prince Joffrey), Robert B (the king),1073024," ""the moment the king was dead; he called the small council together to steal Prince Joffrey"""
,Sansa S (Sansa), Joffrey B (Prince Joffrey),1073057," ""dead; he called the small council together to steal Prince Joffrey's rightful throne.""  ""No;"" Sansa"""
,Sansa S (Sansa), Joffrey B (Prince Joffrey),1075151," ""king could command Father to let her stay in King's Landing and marry Prince Joffrey; Sansa"""
,Robert B (the king), Joffrey B (Prince Joffrey),1075179," ""her stay in King's Landing and marry Prince Joffrey; Sansa knew he could; but the king"""
,Joffrey B (Joffrey), Sansa S (Sansa),1076360," ""may hatch?""  ""No;"" Sansa said; horrified. ""I'm not; I'd never •À_ I wouldn't betray Joffrey"""
,Varys (Varys), Joffrey B (Joffrey),1076423," ""betray Joffrey; I love him; I swear it; I do.""  ""Oh; so poignant;"" said Varys"""
,Joffrey B (Joffrey), Septa M (Septa Mordane),1077256," ""not me. I'm good; ask Septa Mordane; she'll tell you; I only want to be Joffrey"""
,Cersei L (Cersei), Joffrey B (Joffrey),1077313," ""only want to be Joffrey's loyal and loving wife.""  She felt the weight of Cersei"""
,Joffrey B (Joffrey), Eddard S (Eddard),1078396," ""from you. You must tell them how Lord Eddard betrayed his king.""  Sansa wanted Joffrey"""
,Joffrey B (Joffrey), Sansa S (Sansa),1078396," ""from you. You must tell them how Lord Eddard betrayed his king.""  Sansa wanted Joffrey"""
,Cersei L (the queen), Joffrey B (Joffrey),1078470," ""Joffrey desperately; but she did not think she had the courage to do as the queen"""
,Joffrey B (Joffrey), Pycelle (Maester Pycelle),1080058," ""to decide;"" Grand Maester Pycelle announced ponderously.  The king! Sansa blinked back her tears. Joffrey"""
,Joffrey B (Joffrey), Robert B (the king),1080058," ""to decide;"" Grand Maester Pycelle announced ponderously.  The king! Sansa blinked back her tears. Joffrey"""
,Joffrey B (Joffrey), Sansa S (Sansa),1080058," ""to decide;"" Grand Maester Pycelle announced ponderously.  The king! Sansa blinked back her tears. Joffrey"""
,Robert B (the king), Joffrey B (Joffrey),1080071," ""Maester Pycelle announced ponderously.  The king! Sansa blinked back her tears. Joffrey was the king"""
,Joffrey B (Joff), Cersei L (the queen),1080304," ""certain he'd listen. He had to listen; he loved her; even the queen said so. Joff"""
,Robb S (Robb), Joffrey B (Joff),1080671," ""to bring Father back and grant him a pardon.  Only •À_ if Mother or Robb"""
,Joffrey B (Joffrey), Cersei L (Cersei Lannister),1081102," ""Cersei Lannister leaned close and kissed her gently on the cheek. ""I knew you would. Joffrey"""
,Joffrey B (Joffrey), Jon S (Jon),1098572," ""father's friend; wasn't he?""  ""They were as close as brothers; once."" Jon wondered if Joffrey"""
,Eddard S (KingsHand), Joffrey B (Joffrey),1098611," ""as close as brothers; once."" Jon wondered if Joffrey would keep his father as the KingsHand"""
,Joffrey B (Prince Joffrey), Robert B (Robert),1101312," ""treason. It is said he plotted with Robert's brothers to deny the throne to Prince Joffrey"""
,Jon S (Jon), Joffrey B (Prince Joffrey),1101325," ""said he plotted with Robert's brothers to deny the throne to Prince Joffrey.""  ""No;"" Jon"""
,Robb S (Robb), Joffrey B (Joffrey),1102593," ""And would Joffrey allow it? He remembered the prince at Winterfell; the way he'd mocked Robb"""
,Joffrey B (boy king), Jeor M (Old Bear),1102780," """"My lord; will the king listen to you?""  The Old Bear shrugged. ""A boy king"""
,Joffrey B (boy king), Robert B (the king),1102780," """"My lord; will the king listen to you?""  The Old Bear shrugged. ""A boy king"""
,Sansa S (Sansa), Joffrey B (Joffrey),1213771," ""kept the old gods.  This was the first court session of Joffrey's reign; so Sansa"""
,Cersei L (the queen), Joffrey B (Joff),1215383," ""to be afraid of; it will all come out well; Joff loves me and the queen"""
,Joffrey B (Joffrey), Arys O (Arys Oakheart),1215870," ""led them in. Ser Arys Oakheart escorted the queen; while Ser Boros Blount walked beside Joffrey"""
,Joffrey B (Joffrey), Boros B (Boros Blount),1215870," ""led them in. Ser Arys Oakheart escorted the queen; while Ser Boros Blount walked beside Joffrey"""
,Joffrey B (Joffrey), Cersei L (the queen),1215870," ""led them in. Ser Arys Oakheart escorted the queen; while Ser Boros Blount walked beside Joffrey"""
,Sansa S (Sansa), Joffrey B (Joffrey),1216335," ""black diamonds.  When Joffrey turned to look out over the hall; his eye caught Sansa"""
,Cersei L (the queen), Joffrey B (King Joffrey),1220384," ""life and safety of King Joffrey is of paramount importance •À_"" He looked to the queen"""
,Barristan S (Barristan), Joffrey B (King Joffrey),1220415," ""Joffrey is of paramount importance •À_"" He looked to the queen.  Cersei stood. ""Ser Barristan"""
,Sansa S (Sansa), Joffrey B (Joffrey),1221748," ""Joffrey said accusingly from atop the Iron Throne. ""You're too old to protect anybody.""  Sansa"""
,Joffrey B (Joffrey), Cersei L (Cersei Lannister),1222623," ""all of them dead;"" Littlefinger pointed out.  ""Your time is done;"" Cersei Lannister announced. ""Joffrey"""
,Joffrey B (Joffrey), Petyr B (Littlefinger),1222623," ""all of them dead;"" Littlefinger pointed out.  ""Your time is done;"" Cersei Lannister announced. ""Joffrey"""
,Joffrey B (Joffrey), Petyr B (Littlefinger),1223931," ""knight.""  ""A naked knight; it would seem;"" quipped Littlefinger.  They all laughed then; Joffrey"""
,Janos S (Janos), Joffrey B (Joffrey),1223987," ""Littlefinger.  They all laughed then; Joffrey on his throne; and the lords standing attendance; Janos"""
,Cersei L (Cersei), Joffrey B (Joffrey),1224010," ""laughed then; Joffrey on his throne; and the lords standing attendance; Janos Slynt and Queen Cersei"""
,Sandor C (Sandor), Joffrey B (Joffrey),1224021," ""Joffrey on his throne; and the lords standing attendance; Janos Slynt and Queen Cersei and Sandor"""
,Stannis B (Stannis), Joffrey B (Joffrey),1225374," ""me boy;"" Joffrey said peevishly; sounding younger than his years. ""He talked about my uncle Stannis"""
,Janos S (Janos), Joffrey B (Joffrey),1225591," ""questioned."" No one moved. Joffrey raised his voice. ""I said; I want him seized!""  Janos"""
,Janos S (Janos), Joffrey B (King Joffrey),1225710," """"My gold cloaks will see to it; Your Grace.""  ""Good;"" said King Joffrey. Lord Janos"""
,Joffrey B (King Joffrey), Sandor C (Sandor Clegane),1226232," ""Grace than his sworn shield; Sandor Clegane.""  ""How do you like that; dog?"" King Joffrey"""
,Sandor C (Hound), Joffrey B (King Joffrey),1226250," ""shield; Sandor Clegane.""  ""How do you like that; dog?"" King Joffrey asked.  The Hound"""
,Joffrey B (Joffrey), Sansa S (Sansa),1228894," ""my lords; she does not know what she asks.""  Sansa had eyes only for Joffrey"""
,Joffrey B (King Joffrey), Renly B (Renly),1229737," ""or Lord Stannis or •À_ or somebody; they must have lied; otherwise •À_""  King Joffrey"""
,Joffrey B (King Joffrey), Stannis B (Lord Stannis),1229737," ""or Lord Stannis or •À_ or somebody; they must have lied; otherwise •À_""  King Joffrey"""
,Joffrey B (Joffrey), Pycelle (Pycelle),1230292," ""comes from the mouths of babes.""  ""Treason is treason;"" Pycelle replied at once.  Joffrey"""
,Cersei L (Cersei), Joffrey B (Joffrey),1230343," ""is treason;"" Pycelle replied at once.  Joffrey rocked restlessly on the throne. ""Mother?""  Cersei"""
,Sansa S (Sansa), Joffrey B (Joffrey),1230370," ""replied at once.  Joffrey rocked restlessly on the throne. ""Mother?""  Cersei Lannister considered Sansa"""
,Eddard S (Eddard), Joffrey B (Joffrey),1230400," ""Joffrey rocked restlessly on the throne. ""Mother?""  Cersei Lannister considered Sansa thoughtfully. ""If Lord Eddard"""
,Sansa S (Sansa), Joffrey B (Joffrey),1230540," ""would know he had repented his folly.""  Joffrey pushed himself to his feet. Please; Sansa"""
,Robert B (the king), Joffrey B (Joffrey),1230577," ""folly.""  Joffrey pushed himself to his feet. Please; Sansa thought; please; please; be the king"""
,Joffrey B (King Joffrey), Sansa S (Sansa),1230764," ""as you love me; you do me this kindness; my prince;"" Sansa said.  King Joffrey"""
,Cersei L (Cersei), Joffrey B (Joffrey),1240866," ""there. Our new king loves her not. Your older girl is still betrothed to Joffrey. Cersei"""
,Joffrey B (Joffrey), Cersei L (the queen),1243459," ""of madness led you to tell the queen that you had learned the truth of Joffrey"""
,Eddard S (Ned), Joffrey B (Joffrey),1243498," ""queen that you had learned the truth of Joffrey's birth?""  ""The madness of mercy;"" Ned"""
,Varys (Varys), Joffrey B (Joffrey),1243526," ""the truth of Joffrey's birth?""  ""The madness of mercy;"" Ned admitted.  ""Ah;"" said Varys"""
,Joffrey B (Joffrey), Petyr B (Littlefinger),1244756," ""foolish; my lord. You ought to have heeded Littlefinger when he urged you to support Joffrey"""
,Varys (Varys), Joffrey B (Joffrey),1244815," ""you to support Joffrey's succession.""  ""How •À_ how could you know of that?""  Varys"""
,Stannis B (Stannis), Joffrey B (Joffrey),1246990," ""to lay down his sword; and proclaim Joffrey as the true heir. Offer to denounce Stannis"""
,Renly B (Renly), Joffrey B (Joffrey),1247000," ""down his sword; and proclaim Joffrey as the true heir. Offer to denounce Stannis and Renly"""
,Robert B (the king), Joffrey B (Joffrey),1269159," ""words; but I swore oaths to the crown too; it seems to me. Joffrey's the king"""
,Alliser T (Ser Alliser), Joffrey B (Joffrey),1289691," ""before this boy king. That should get young Joffrey's attention; I'd think •À_ and Ser Alliser"""
,Cersei L (the queen), Joffrey B (Joffrey),1430034," ""in the black-and-gold armor. Two of the Kingsguard stepped in front of Joffrey and the queen"""
,Joffrey B (Joffrey), High S (High Septon),1430342," ""safe; she prayed. Don't let them hurt my father.  The High Septon knelt before Joffrey"""
,Joffrey B (Prince Joffrey), Arya S (Arya),1430817," ""traitor; Your Grace?""  A thousand voices were screaming; but Arya never heard them. Prince Joffrey"""
,Joffrey B (Joffrey), Arya S (Arya),1431119," ""smiled; and for a moment Arya thought that the gods had heard her prayer; until Joffrey"""
,Joffrey B (Joffrey), Cersei L (the queen),1431523," ""rushing over waving his arms; and even the queen was saying something to him; but Joffrey"""
,Joffrey B (Joffrey), Sansa S (Sansa),1461195," ""When they finally came for her in truth; Sansa never heard their footsteps. It was Joffrey"""
,Ilyn P (Ilyn), Joffrey B (Joffrey),1461229," ""truth; Sansa never heard their footsteps. It was Joffrey who opened her door; not Ser Ilyn"""
,Sandor C (Sandor), Joffrey B (Joffrey),1461671," ""court this afternoon;"" Joffrey said. ""See that you bathe and dress as befits my betrothed."" Sandor"""
,Joffrey B (Joffrey), Sandor C (Hound),1462045," "" ""If you won't rise and dress yourself; my Hound will do it for you;"" Joffrey"""
,Meryn T (Meryn), Joffrey B (Joffrey),1464310," ""corrected her. ""I shall look for you in court."" He turned and left.  Ser Meryn"""
,Joffrey B (Joffrey), Sansa S (Sansa),1467488," ""Sansa. She stood with her head bowed; fighting to hold back her tears; while below Joffrey"""
,Janos S (Slynt), Joffrey B (Joffrey),1468357," ""too;"" Joffrey said. Two gold cloaks dragged her off to the dungeons.  Frog-faced Lord Slynt"""
,Joffrey B (Joff), Robert B (Robert),1469233," ""a plump tavern singer; accused of making a song that ridiculed the late King Robert. Joff"""
,Joffrey B (Joffrey), Cersei L (the queen),1469633," ""almost sounded as if he were singing about the queen. When the song was done; Joffrey"""
,Sandor C (Hound), Joffrey B (Joffrey),1470045," ""only to find Joffrey waiting for her at the base of the curving stairs. The Hound"""
,Joffrey B (Joffrey), Sansa S (Sansa),1470284," ""Sansa said. Hollow words; but they made him nod and smile.  ""Walk with me;"" Joffrey"""
,Joffrey B (Joffrey), Septa M (Septa Mordane),1471686," ""Mordane says most •À_ most highborn girls have their flowering at twelve or thirteen.""  Joffrey"""
,Sansa S (Sansa), Joffrey B (Joffrey),1472056," ""Joffrey pressed his lips together. ""I want to show you what happens to traitors.""  Sansa"""
,Sansa S (Sansa), Joffrey B (Joffrey),1472233," ""won't like that. You had better do what I say."" Joffrey reached for her; and Sansa"""
,Sandor C (Hound), Joffrey B (Joffrey),1472279," ""I say."" Joffrey reached for her; and Sansa cringed away from him; backing into the Hound"""
,Joffrey B (Joffrey), Sandor C (Hound),1475893," ""wooden sword. Didn't you; dog?""  ""Did I?"" the Hound replied. ""I don't recall.""  Joffrey"""
,Jaime L (Jaime), Joffrey B (Joffrey),1475954," ""replied. ""I don't recall.""  Joffrey gave a petulant shrug. ""Your brother defeated my uncle Jaime"""
,Sansa S (Sansa), Joffrey B (Joffrey),1476887," ""all the time;"" Joffrey told her. ""You're more pretty when you smile and laugh.""  Sansa"""
,Joffrey B (Joffrey), Sandor C (Sandor Clegane),1477569," ""wouldn't matter at all.  ""Here; girl."" Sandor Clegane knelt before her; between her and Joffrey"""
,Joffrey B (Joff), Robert B (Robert),1510650," ""with Robert's brothers. Dead •À_"" His hand curled into a fist. ""Madness. Rank madness.""  ""Joff"""
,Tyrion L (Tyrion), Joffrey B (Joff),1510672," ""•À_"" His hand curled into a fist. ""Madness. Rank madness.""  ""Joff's only a boy;"" Tyrion"""
,Joffrey B (Joffrey), Kevan L (Kevan),1511108," ""a new king.""  Ser Kevan looked poleaxed. ""A new•À_who? What have they done to Joffrey"""
,Tywin L (Tywin), Joffrey B (Joffrey),1511169," ""What have they done to Joffrey?""  The faintest flicker of distaste played across Lord Tywin"""
,Joffrey B (King Joffrey), Robert B (the king),1511808," ""us; mind you. In the name of the king and council.""  ""How is King Joffrey"""
,Tyrion L (Tyrion), Joffrey B (King Joffrey),1511833," ""the name of the king and council.""  ""How is King Joffrey taking the news?"" Tyrion"""
,Cersei L (Cersei), Joffrey B (King Joffrey),1511880," """"How is King Joffrey taking the news?"" Tyrion asked with a certain black amusement.  ""Cersei"""
,Joffrey B (Joffrey), Pycelle (Grand Maester),1516230," ""Grand Maester; and that cockless wonder Lord Varys. What sort of counsel are they giving Joffrey"""
,Joffrey B (Joffrey), Varys (Lord Varys),1516230," ""Grand Maester; and that cockless wonder Lord Varys. What sort of counsel are they giving Joffrey"""
,Galbart G (Galbart), Joffrey B (Joffrey),1562149," ""he knew how to listen.  ""You cannot mean to hold to Joffrey; my lord;"" Galbart"""
,Joffrey B (Joffrey), Renly B (Renly),1562280," """"That makes him evil;"" Robb replied. ""I do not know that it makes Renly king. Joffrey"""
,Joffrey B (Joffrey), Robb S (Robb),1562280," """"That makes him evil;"" Robb replied. ""I do not know that it makes Renly king. Joffrey"""
,Robert B (Robert), Joffrey B (Joffrey),1562296," ""evil;"" Robb replied. ""I do not know that it makes Renly king. Joffrey is still Robert"""
,Joffrey B (Joffrey), Tommen (Tommen),1562492," ""see that he does; he has a younger brother. Tommen is next in line after Joffrey"""
,Tommen (Tommen), Joffrey B (Joffrey),1562503," ""he does; he has a younger brother. Tommen is next in line after Joffrey.""  ""Tommen"""
,Marq P (Ser Marq), Joffrey B (Joffrey),1562537," ""Tommen is next in line after Joffrey.""  ""Tommen is no less a Lannister;"" Ser Marq"""
,Robb S (Robb), Joffrey B (Joffrey),1562577," """"Tommen is no less a Lannister;"" Ser Marq Piper snapped.  ""As you say;"" said Robb"""
,Joffrey B (boy king), Cersei L (the queen),1563222," ""the year; we will have all their heads on pikes; the queen and the boy king"""
,Tywin L (Tywin), Joffrey B (boy king),1563234," ""we will have all their heads on pikes; the queen and the boy king; Lord Tywin"""
,Tyrion L (Imp), Joffrey B (boy king),1563243," ""have all their heads on pikes; the queen and the boy king; Lord Tywin; the Imp"""
,Jaime L (Kingslayer), Joffrey B (boy king),1563259," ""their heads on pikes; the queen and the boy king; Lord Tywin; the Imp; the Kingslayer"""
,Kevan L (Kevan), Joffrey B (boy king),1563270," ""on pikes; the queen and the boy king; Lord Tywin; the Imp; the Kingslayer; Ser Kevan"""
,Joffrey B (King Joffrey), Catelyn S (Catelyn),1567421," ""Blackwood agreed; to Catelyn's surprise and dismay. ""And if we do make peace with King Joffrey"""
,Renly B (Renly), Joffrey B (King Joffrey),1567461," ""if we do make peace with King Joffrey; are we not then traitors to King Renly"""
