,Brandon S Encounters:,,,
,Brandon S (Bran), Aerys T (Mad King),461511," ""she confused him with his uncle Brandon; who was killed by the Mad King before Bran"""
,Nan (Old Nan), Brandon S (Bran),462506," ""through the woods.""  ""You mean the Others;"" Bran said querulously.  ""The Others;"" Old Nan"""
,Nan (Old Nan), Brandon S (Bran),463078," ""sort of story you like?""  ""Well;"" Bran said reluctantly; ""yes; only •À_""  Old Nan"""
,Brandon S (Bran), Luwin (Maester Luwin),465220," ""Maester Luwin was not smiling. ""We have visitors;"" he announced; ""and your presence is required; Bran"""
,Luwin (Maester Luwin), Brandon S (Bran),465488," ""and ofttimes they bring stories of their own.""  ""Who is it?"" Bran asked Maester Luwin"""
,Tyrion L (Tyrion), Brandon S (Bran),465498," ""they bring stories of their own.""  ""Who is it?"" Bran asked Maester Luwin.  ""Tyrion"""
,Brandon S (Bran), Hodor (Hodor),465634," ""word from your brother Jon. Robb is meeting with them now. Hodor; will you help Bran"""
,Brandon S (Bran), Jon S (Jon),465634," ""word from your brother Jon. Robb is meeting with them now. Hodor; will you help Bran"""
,Brandon S (Bran), Robb S (Robb),465634," ""word from your brother Jon. Robb is meeting with them now. Hodor; will you help Bran"""
,Hodor (Hodor), Brandon S (Bran),465661," ""is meeting with them now. Hodor; will you help Bran down to the hall?""  ""Hodor"""
,Brandon S (Bran), Nan (Old Nan),465841," ""tall. It was hard to believe that he was the same blood as Old Nan. Bran"""
,Brandon S (Bran), Hodor (Hodor),466005," ""did not seem likely; even if Hodor lived to be a thousand.  Hodor lifted Bran"""
,Brandon S (Bran), Nan (Old Nan),466384," ""could doubt that he knew his name. Old Nan had cackled like a hen when Bran"""
,Hodor (Hodor), Brandon S (Bran),466424," ""Old Nan had cackled like a hen when Bran told her that; and confessed that Hodor"""
,Walder F (Walder), Brandon S (Bran),466447," ""like a hen when Bran told her that; and confessed that Hodor's real name was Walder"""
,Brandon S (Bran), Hodor (Hodor),466706," ""the tower room with her needles and her memories. Hodor hummed tunelessly as he carried Bran"""
,Luwin (Maester Luwin), Brandon S (Bran),466765," ""hummed tunelessly as he carried Bran down the steps and through the gallery; with Maester Luwin"""
,Hodor (Hodor), Brandon S (Bran),467251," ""of the Night's Watch. Bran could sense the anger in the hall the moment that Hodor"""
,Brandon S (Bran), Jon S (Jon),468014," ""his face. ""Your bastard brother has all your father's graces; it would seem.""  ""Jon;"" Bran"""
,Hodor (Hodor), Brandon S (Bran),468036," ""brother has all your father's graces; it would seem.""  ""Jon;"" Bran gasped out from Hodor"""
,Brandon S (Bran), Hodor (Hodor),468337," ""bring my brother here.""  ""Hodor;"" Hodor said; and he trotted forward smiling and set Bran"""
,Brandon S (Bran), Robb S (Robb),468778," ""baby.  Robb put a hand on his shoulder. ""You said you had business with Bran"""
,Tyrion L (Tyrion), Brandon S (Bran),468849," ""had business with Bran. Well; here he is; Lannister.""  Bran was uncomfortably aware of Tyrion"""
,Luwin (Maester Luwin), Brandon S (Bran),469503," ""for you;"" the dwarf said to Bran. ""Do you like to ride; boy?""  Maester Luwin"""
,Brandon S (Bran), Robb S (Robb Stark),470982," ""as any of them.""  Robb Stark seemed puzzled. ""Is this some trap; Lannister? What's Bran"""
,Jon S (Jon), Brandon S (Bran),471043," ""Lannister? What's Bran to you? Why should you want to help him?""  ""Your brother Jon"""
,Robb S (Robb), Brandon S (Bran),472287," ""crept backward; away from the little man; and settled down below Bran's dangling feet.  Robb"""
,Brandon S (Bran), Rickon S (Rickon),472530," ""rumbling at the small man; his eyes burning like green fire.  ""Rickon; call him;"" Bran"""
,Rickon S (Rickon), Brandon S (Bran),472570," ""burning like green fire.  ""Rickon; call him;"" Bran shouted to his baby brother; and Rickon"""
,Brandon S (Bran), Luwin (Maester Luwin),473459," ""my lord;"" Maester Luwin said. He moved to Robb and they huddled close together; whispering. Bran"""
,Brandon S (Bran), Robb S (Robb),473459," ""my lord;"" Maester Luwin said. He moved to Robb and they huddled close together; whispering. Bran"""
,Robb S (Robb), Brandon S (Bran),473533," ""Bran tried to hear what they were saying; but their voices were too low.  Robb"""
,Robb S (Robb), Brandon S (Bran),473662," ""have been hasty with you;"" he said. ""You've done Bran a kindness; and; well •À_"" Robb"""
,Brandon S (Bran), Hodor (Hodor),474769," ""him all the same.  Summer followed them up the tower steps as Hodor carried Bran"""
,Nan (Old Nan), Brandon S (Bran),474794," ""followed them up the tower steps as Hodor carried Bran back to his bed. Old Nan"""
,Hodor (Hodor), Brandon S (Bran),474825," ""as Hodor carried Bran back to his bed. Old Nan was asleep in her chair. Hodor"""
,Brandon S (Bran), Hodor (Hodor),474922," ""chair. Hodor said ""Hodor;"" gathered up his great-grandmother; and carried her off; snoring softly; while Bran"""
,Robb S (Robb), Brandon S (Bran),474941," """"Hodor;"" gathered up his great-grandmother; and carried her off; snoring softly; while Bran lay thinking. Robb"""
,Brandon S (Bran), Hodor (Hodor),476854," ""fear; but then the shadow said ""Hodor;"" and lit the candle by the bedside; and Bran"""
,Hodor (Hodor), Brandon S (Bran),476881," ""said ""Hodor;"" and lit the candle by the bedside; and Bran sighed with relief.  Hodor"""
,Brandon S (Bran), Robb S (Robb),477195," ""the table had been left empty; but Robb sat to the right of it; with Bran"""
,Yoren (Yoren), Brandon S (Bran),477580," ""Bran had found that strange at first; but he was growing used to it.  Yoren"""
,Brandon S (Bran), Alliser T (Ser Alliser),477969," ""Snow. ""Ser Alliser's bane;"" he grunted; and two of his companions shared a laugh that Bran"""
,Robb S (Robb), Brandon S (Bran),478003," ""and two of his companions shared a laugh that Bran did not understand. But when Robb"""
,Benjen S (Benjen), Brandon S (Bran),478040," ""laugh that Bran did not understand. But when Robb asked for news of their uncle Benjen"""
,Brandon S (Bran), Benjen S (Benjen),478102," ""news of their uncle Benjen; the black brothers grew ominously quiet.  ""What is it?"" Bran"""
,Yoren (Yoren), Brandon S (Bran),478116," ""uncle Benjen; the black brothers grew ominously quiet.  ""What is it?"" Bran asked.  Yoren"""
,Yoren (Yoren), Brandon S (Bran),478732," ""His voice rang against the stone walls; and Bran was suddenly afraid.  Old sour-smelling Yoren"""
,Robb S (Robb), Brandon S (Bran),478750," ""the stone walls; and Bran was suddenly afraid.  Old sour-smelling Yoren looked up at Robb"""
,Nan (Old Nan), Brandon S (Bran),479186," ""those woods before; and never come out.""  All Bran could think of was Old Nan"""
,Brandon S (Bran), Luwin (Maester Luwin),479496," ""he blurted; ""the children of the forest!""  Theon Greyjoy sniggered; and Maester Luwin said; ""Bran"""
,Brandon S (Bran), Theon G (Theon Greyjoy),479496," ""he blurted; ""the children of the forest!""  Theon Greyjoy sniggered; and Maester Luwin said; ""Bran"""
,Brandon S (Bran), Robb S (Robb),479851," ""alive and what's dead.""  That night; after the plates had been cleared; Robb carried Bran"""
,Brandon S (Bran), Robb S (Robb),480113," ""and Robb was breathing hard by the time they reached the top.  He put Bran"""
,Robb S (Robb), Brandon S (Bran),480191," ""Bran into bed; covered him with blankets; and blew out the candle. For a time Robb"""
,Brandon S (Bran), Robb S (Robb),480224," ""and blew out the candle. For a time Robb sat beside him in the dark. Bran"""
,Brandon S (Bran), Robb S (Robb),480380," ""horse for you; I promise;"" Robb whispered at last.  ""Are they ever coming back?"" Bran"""
,Robb S (Robb), Brandon S (Bran),480404," ""Robb whispered at last.  ""Are they ever coming back?"" Bran asked him.  ""Yes;"" Robb"""
,Brandon S (Bran), Robb S (Robb),480447," ""back?"" Bran asked him.  ""Yes;"" Robb said with such hope in his voice that Bran"""
,Robb S (Robb), Brandon S (Bran),480497," ""hope in his voice that Bran knew he was hearing his brother and not just Robb"""
,Brandon S (Bran), Luwin (Maester Luwin),491009," ""know it is not always so. When Maester Luwin's bird brought the word about your Bran"""
,Brandon S (Bran), Arya S (Arya),492183," ""her. ""He needs to win his strength back.""  Arya bit her lip. ""What will Bran"""
,Eddard S (Ned), Brandon S (Bran),492210," ""back.""  Arya bit her lip. ""What will Bran do when he's of age?""  Ned"""
,Sansa S (Sansa), Brandon S (Bran),492955," ""red blooms of dragon's breath surrounded the girls where they lay. ""I dreamed of Bran;"" Sansa"""
,Brandon S (Brandon), Robert B (the king),493274," ""of a great holdfast and sit on the king's council. He might raise castles like Brandon"""
,Brandon S (Bran), Robb S (Robb),524217," ""so they were; he thought to himself after Sam had taken his leave. Robb and Bran"""
,Brandon S (Bran), Samwell T (Sam),524217," ""so they were; he thought to himself after Sam had taken his leave. Robb and Bran"""
,Rickon S (Rickon), Brandon S (Bran),524228," ""were; he thought to himself after Sam had taken his leave. Robb and Bran and Rickon"""
,Jon S (Jon), Brandon S (Bran),524285," ""Robb and Bran and Rickon were his father's sons; and he loved them still; yet Jon"""
,Rodrik C (Ser Rodrik), Brandon S (Bran),557774," ""among them would have been no older than Bran when she went north.  Ser Rodrik"""
,Brandon S (Bran), Catelyn S (Catelyn),562799," ""all;"" the innkeep promised. And may he choke on it; Catelyn thought; but it was Bran"""
,Jory C (Jory), Brandon S (Bran),572598," ""all her tears for Lady and Bran. It would be different if it had been Jory"""
,Rodrik C (Ser Rodrik), Brandon S (Bran),572612," ""for Lady and Bran. It would be different if it had been Jory or Ser Rodrik"""
,Jon S (Jon), Brandon S (Bran),603690," ""prove that the Lannisters were behind the attack on Bran; prove that they had murdered Jon"""
,Jon A (Jon Arryn), Brandon S (Bran),603696," ""that the Lannisters were behind the attack on Bran; prove that they had murdered Jon Arryn"""
,Cersei L (Cersei), Brandon S (Bran),603732," ""attack on Bran; prove that they had murdered Jon Arryn; this man would listen. Then Cersei"""
,Brandon S (Bran), Petyr B (Littlefinger),619572," ""studied it. Littlefinger's blade; won by Tyrion Lannister in a tourney wager; sent to slay Bran"""
,Brandon S (Bran), Tyrion L (Tyrion Lannister),619572," ""studied it. Littlefinger's blade; won by Tyrion Lannister in a tourney wager; sent to slay Bran"""
,Jon S (Jon), Brandon S (Bran),619731," "" The dagger; Bran's fall; all of it was linked somehow to the murder of Jon"""
,Jon A (Jon Arryn), Brandon S (Bran),619737," ""The dagger; Bran's fall; all of it was linked somehow to the murder of Jon Arryn"""
,Renly B (Renly), Brandon S (Bran),620623," ""boy of Bran's age whose mother was highborn. The lad was being fostered by Lord Renly"""
,Brandon S (Bran), Robb S (Robb),682100," ""come by way of Winterfell. ""Do you know my brothers?"" she asked excitedly. ""Robb and Bran"""
,Jon S (Jon), Brandon S (Bran),682127," """"Do you know my brothers?"" she asked excitedly. ""Robb and Bran are at Winterfell; and Jon"""
,Brandon S (Bran), Tyrion L (Imp),697388," ""out of the sheath on his belt. The Imp's knife. Why would the dwarf want Bran"""
,Brandon S (Bran), Catelyn S (Catelyn),703748," ""wrong? Catelyn wondered; not for the first time. Could he be innocent after all; of Bran"""
,Jon S (Jon), Brandon S (Bran),703756," ""wondered; not for the first time. Could he be innocent after all; of Bran and Jon"""
,Jon A (Jon Arryn), Brandon S (Bran),703762," ""not for the first time. Could he be innocent after all; of Bran and Jon Arryn"""
,Brandon S (Bran), Lysa A (Lysa),711675," ""It took longer than she would have believed to tell it all; Lysa's letter and Bran"""
,Petyr B (Littlefinger), Brandon S (Bran),711722," ""have believed to tell it all; Lysa's letter and Bran's fall; the assassin's dagger and Littlefinger"""
,Tyrion L (Tyrion), Brandon S (Bran),711757," ""Lysa's letter and Bran's fall; the assassin's dagger and Littlefinger and her chance meeting with Tyrion"""
,Brandon S (Bran), Robb S (Robb),775555," ""calm; his heart was fluttering in his chest.  ""Are you ready?"" Robb asked.  Bran"""
,Hodor (Hodor), Brandon S (Bran),776204," ""Up to now; Bran had only ridden her around the yard. At first Joseth or Hodor"""
,Brandon S (Bran), Hodor (Hodor),776231," ""only ridden her around the yard. At first Joseth or Hodor would lead her; while Bran"""
,Tyrion L (Imp), Brandon S (Bran),776287," ""would lead her; while Bran sat strapped to her back in the oversize saddle the Imp"""
,Brandon S (Bran), Hullen (Hullen),776932," ""horse while Hullen was away. Maester Luwin brought up the rear; riding on a donkey. Bran"""
,Brandon S (Bran), Luwin (Maester Luwin),776932," ""horse while Hullen was away. Maester Luwin brought up the rear; riding on a donkey. Bran"""
,Robb S (Robb), Brandon S (Bran),776974," ""the rear; riding on a donkey. Bran would have liked it better if he and Robb"""
,Brandon S (Bran), Hal M (Hal Mollen),777091," ""them; but Hal Mollen would not hear of it; and Maester Luwin backed him. If Bran"""
,Brandon S (Bran), Luwin (Maester Luwin),777091," ""them; but Hal Mollen would not hear of it; and Maester Luwin backed him. If Bran"""
,Luwin (Maester Luwin), Brandon S (Bran),777751," ""and then the winter town came alive. Bran had never seen it happen; but Maester Luwin"""
,Brandon S (Bran), Robb S (Robb),779002," "" ""Not where my brother can hear; Theon;"" Robb warned him with a glance at Bran"""
,Brandon S (Bran), Theon G (Theon),779002," "" ""Not where my brother can hear; Theon;"" Robb warned him with a glance at Bran"""
,Brandon S (Bran), Robb S (Robb),779278," ""was clever enough to understand. Robb seemed to admire Theon and enjoy his company; but Bran"""
,Brandon S (Bran), Theon G (Theon),779278," ""was clever enough to understand. Robb seemed to admire Theon and enjoy his company; but Bran"""
,Robb S (Robb), Brandon S (Bran),779323," ""Theon and enjoy his company; but Bran had never warmed to his father's ward.  Robb"""
,Brandon S (Bran), Robb S (Robb),779362," ""had never warmed to his father's ward.  Robb rode closer. ""You are doing well; Bran"""
,Robb S (Robb), Brandon S (Bran),779408," ""closer. ""You are doing well; Bran.""  ""I want to go faster;"" Bran replied.  Robb"""
,Brandon S (Bran), Theon G (Theon Greyjoy),779648," ""a shout from Theon Greyjoy; and the hoofbeats of the other horses behind him.  Bran"""
,Brandon S (Bran), Robb S (Robb),780228," """"I'd race you; but I fear you'd win."" Robb's tone was light and joking; yet Bran"""
,Brandon S (Bran), Robb S (Robb),780722," ""things •À_ sense things •À_"" Robb sighed. ""I never know how much to tell you; Bran"""
,Brandon S (Bran), Robb S (Robb),780928," ""Winterfell; after you.""  ""So you are."" Robb sounded sad; and even a little scared. ""Bran"""
,Brandon S (Bran), Luwin (Maester Luwin),781039," ""something. There was a bird last night. From King's Landing. Maester Luwin woke me.""  Bran"""
,Nan (Old Nan), Brandon S (Bran),781092," ""Maester Luwin woke me.""  Bran felt a sudden dread. Dark wings; dark words; Old Nan"""
,Brandon S (Bran), Tyrion L (Imp),781503," ""say when she meant to return; only that she had taken the Imp as prisoner. Bran"""
,Brandon S (Bran), Robb S (Robb),781973," ""Mollen. Afterward; riders were sent out on fast horses; carrying Robb's commands throughout the north. Bran"""
,Jory C (Jory), Brandon S (Bran),782547," "" Bran did not know what to say. He felt as if he'd been punched. Jory"""
,Brandon S (Bran), Jory C (Jory),782619," ""he'd been punched. Jory had been captain of the household guard at Winterfell since before Bran"""
,Jory C (Jory), Brandon S (Bran),782647," ""been captain of the household guard at Winterfell since before Bran was born. ""They killed Jory"""
,Brandon S (Bran), Robb S (Robb the Lord),783434," ""of his sword then; and went on in the solemn voice of Robb the Lord. ""Bran"""
,Theon G (Theon), Brandon S (Bran),783598," ""in his tone made Bran even more fearful. ""What will you do?"" he asked as Theon"""
,Theon G (Theon), Brandon S (Bran),783939," ""banners;"" Bran said as the snow drifted down around them.  ""If your father dies;"" Theon"""
,Robb S (Robb), Brandon S (Bran),783951," ""said as the snow drifted down around them.  ""If your father dies;"" Theon said; ""Robb"""
,Brandon S (Bran), Robb S (Robb),784002," ""your father dies;"" Theon said; ""Robb will be Lord of Winterfell.""  ""He won't die!"" Bran"""
,Brandon S (Bran), Theon G (Theon),784002," ""your father dies;"" Theon said; ""Robb will be Lord of Winterfell.""  ""He won't die!"" Bran"""
,Robb S (Robb), Brandon S (Bran),784025," """"Robb will be Lord of Winterfell.""  ""He won't die!"" Bran screamed at him.  Robb"""
,Brandon S (Bran), Rickon S (Rickon),784256," ""told me to be strong for you and for Rickon. I'm almost a man grown; Bran"""
,Luwin (Maester Luwin), Brandon S (Bran),784354," ""Bran shivered. ""I wish Mother was back;"" he said miserably. He looked around for Maester Luwin"""
,Brandon S (Bran), Theon G (Theon),784571," ""is timid as an old woman;"" said Theon.  ""Father always listened to his counsel;"" Bran"""
,Robb S (Robb), Brandon S (Bran),784632," ""listened to his counsel;"" Bran reminded his brother. ""Mother too.""  ""I listen to him;"" Robb"""
,Brandon S (Bran), Robb S (Robb),784680," ""too.""  ""I listen to him;"" Robb insisted. ""I listen to everyone.""  The joy Bran"""
,Brandon S (Bran), Luwin (Maester Luwin),785152," ""Luwin had warned him to keep the ride short; for fear of saddle sores; but Bran"""
,Brandon S (Bran), Theon G (Theon),786146," ""of an empress spider.  Theon and the others fell farther and farther behind; until Bran"""
,Robb S (Robb), Brandon S (Bran),786314," ""waters. It grew louder until they reached the stream. Tears stung his eyes.  ""Bran?"" Robb"""
,Brandon S (Bran), Robb S (Robb),786343," ""they reached the stream. Tears stung his eyes.  ""Bran?"" Robb asked. ""What's wrong?""  Bran"""
,Jory C (Jory), Brandon S (Bran),786400," ""Robb asked. ""What's wrong?""  Bran shook his head. ""I was just remembering;"" he said. ""Jory"""
,Brandon S (Bran), Robb S (Robb),786563," "" ""I remember;"" Robb said; his voice quiet and sad.  ""I didn't catch anything;"" Bran"""
,Jon S (Jon), Brandon S (Bran),786578," ""Robb said; his voice quiet and sad.  ""I didn't catch anything;"" Bran said; ""but Jon"""
,Robb S (Robb), Brandon S (Bran),787098," ""foamed around rock and root; and Bran could feel the spray on his face as Robb"""
,Brandon S (Bran), Theon G (Theon),787711," ""Theon and the others should be along shortly.""  ""I want to go with you;"" Bran"""
,Robb S (Robb), Brandon S (Bran),787758," """"I want to go with you;"" Bran said.  ""I'll find them faster by myself."" Robb"""
,Brandon S (Bran), Luwin (Maester Luwin),788386," ""Maester Luwin and Joseth and the rest.  When he heard the rustle of leaves; Bran"""
,Brandon S (Bran), Robb S (Robb),792372," ""and I promise you shall have a quick and painless death;"" Robb called out.  Bran"""
,Brandon S (Bran), Robb S (Robb),796825," ""heads. Grey Wind loped back to Robb. Summer stayed where he was; his eyes on Bran"""
,Brandon S (Bran), Robb S (Robb),797054," ""feet. Blood leaked from a wound on the upper arm where Robb had cut her. Bran"""
,Brandon S (Bran), Robb S (Robb),797900," ""Robb did not move.  ""You do it. The wolves or the boy.""  ""No!"" Bran"""
,Robb S (Robb), Brandon S (Bran),797918," ""move.  ""You do it. The wolves or the boy.""  ""No!"" Bran screamed. If Robb"""
,Osha (Osha), Brandon S (Bran),798582," ""arrow broke beneath him. Bran watched his life go swirling off in the water.  Osha"""
,Theon G (Theon), Brandon S (Bran),799275," ""feel it.""  As the maester knelt to examine the wound; Bran turned his head. Theon"""
,Brandon S (Bran), Robb S (Robb),799617," ""Greyjoy;"" Robb said loudly. ""I ought to chain you up in the yard and let Bran"""
,Brandon S (Bran), Robb S (Robb),800712," ""leave the boy alone?""  Robb turned his head to look at Theon once more. Bran"""
,Brandon S (Bran), Theon G (Theon),800712," ""leave the boy alone?""  Robb turned his head to look at Theon once more. Bran"""
,Brandon S (Bran), Robb S (Robb),802108," ""shuddered. Even the guardsmen looked queasy.  ""She's a woman;"" Robb said.  ""A wildling;"" Bran"""
,Brandon S (Bran), Luwin (Maester Luwin),802350," ""she muttered sourly.  Maester Luwin stood. ""We might do well to question her.""  Bran"""
,Jon S (Jon), Brandon S (Bran),824009," ""knife to slay my son Bran in his bed; and of conspiring to murder Lord Jon"""
,Jon A (Jon Arryn), Brandon S (Bran),824015," ""to slay my son Bran in his bed; and of conspiring to murder Lord Jon Arryn"""
,Eddard S (HandoftheKing), Brandon S (Bran),824034," ""my son Bran in his bed; and of conspiring to murder Lord Jon Arryn; the HandoftheKing"""
,Tyrion L (Tyrion), Brandon S (Bran),824044," ""Bran in his bed; and of conspiring to murder Lord Jon Arryn; the HandoftheKing.""  Tyrion"""
,Brandon S (Brandon), Ethan G (Ethan Glover),830332," ""in life. Proud Martyn Cassel; Jory's father; faithful Theo Wull; Ethan Glover; who had been Brandon"""
,Brandon S (Brandon), Jory C (Jory),830332," ""in life. Proud Martyn Cassel; Jory's father; faithful Theo Wull; Ethan Glover; who had been Brandon"""
,Brandon S (Brandon), Martyn C (Martyn Cassel),830332," ""in life. Proud Martyn Cassel; Jory's father; faithful Theo Wull; Ethan Glover; who had been Brandon"""
,Brandon S (Brandon), Theo W (Theo Wull),830332," ""in life. Proud Martyn Cassel; Jory's father; faithful Theo Wull; Ethan Glover; who had been Brandon"""
,Mark R (Mark), Brandon S (Brandon),830351," ""Martyn Cassel; Jory's father; faithful Theo Wull; Ethan Glover; who had been Brandon's squire; Ser Mark"""
,Howland R (Howland), Brandon S (Brandon),830420," ""been Brandon's squire; Ser Mark Ryswell; soft of speech and gentle of heart; the crannogman; Howland"""
,Petyr B (Petyr), Brandon S (Brandon),861614," ""been yesterday.  They met in the lower bailey of Riverrun. When Brandon saw that Petyr"""
,Petyr B (Littlefinger), Brandon S (Brandon),862301," ""over almost as soon as it began. Brandon was a man grown; and he drove Littlefinger"""
,Petyr B (Petyr), Brandon S (Brandon),862672," ""at their ankles; Brandon finally ended it; with a brutal backhand cut that bit through Petyr"""
,Brandon S (Brandon), Petyr B (Petyr),863376," ""on him as well; but Petyr had sent him away. Her brother had acted as Brandon"""
,Petyr B (Littlefinger), Brandon S (Brandon),863415," ""had sent him away. Her brother had acted as Brandon's squire at the duel; and Littlefinger"""
,Robb S (Robb), Brandon S (Bran),875981," ""He remembered the day he had left Winterfell; all the bittersweet farewells; Bran lying broken; Robb"""
,Arya S (Arya), Brandon S (Bran),876009," ""left Winterfell; all the bittersweet farewells; Bran lying broken; Robb with snow in his hair; Arya"""
,Robb S (Robb), Brandon S (Bran),939787," ""on a galley. It will be an adventure; and then we'll be with Bran and Robb"""
,Nan (Old Nan), Brandon S (Bran),939806," ""will be an adventure; and then we'll be with Bran and Robb again; and Old Nan"""
,Hodor (Hodor), Brandon S (Bran),939816," ""an adventure; and then we'll be with Bran and Robb again; and Old Nan and Hodor"""
,Brandon S (Bran), Jon A (Jon Arryn),948007," ""duty to Robert; to the realm; to the shade of Jon Arryn •À_ and to Bran"""
,Brandon S (Bran), Jon S (Jon),948007," ""duty to Robert; to the realm; to the shade of Jon Arryn •À_ and to Bran"""
,Brandon S (Bran), Robert B (Robert),948007," ""duty to Robert; to the realm; to the shade of Jon Arryn •À_ and to Bran"""
,Cersei L (Cersei), Brandon S (Bran),951932," ""a smile flitted over her lips.  ""My son Bran •À_""  To her credit; Cersei"""
,Brandon S (Bran), Arya S (Arya),952263," ""life of some child I did not know; against Robb and Sansa and Arya and Bran"""
,Brandon S (Bran), Robb S (Robb),952263," ""life of some child I did not know; against Robb and Sansa and Arya and Bran"""
,Brandon S (Bran), Sansa S (Sansa),952263," ""life of some child I did not know; against Robb and Sansa and Arya and Bran"""
,Rickon S (Rickon), Brandon S (Bran),952274," ""some child I did not know; against Robb and Sansa and Arya and Bran and Rickon"""
,Catelyn S (Catelyn), Brandon S (Bran),952325," ""and Arya and Bran and Rickon; what would I do? Even more so; what would Catelyn"""
,Lyanna (Lyanna), Brandon S (Brandon),981875," ""Last of all; he came to the tomb where his father slept; with Brandon and Lyanna"""
,Eddard S (Ned), Brandon S (Brandon),981904," ""to the tomb where his father slept; with Brandon and Lyanna beside him. ""Promise me; Ned"""
,Robb S (Robb), Brandon S (Bran),1001398," ""to his face. He wanted to hear Bran's laughter once more; to go hawking with Robb"""
,Rickon S (Rickon), Brandon S (Bran),1001415," ""He wanted to hear Bran's laughter once more; to go hawking with Robb; to watch Rickon"""
,Brandon S (Bran), Robb S (Robb),1060518," ""she saw them. Her brother Robb had taken them down; her and Sansa and baby Bran"""
,Brandon S (Bran), Sansa S (Sansa),1060518," ""she saw them. Her brother Robb had taken them down; her and Sansa and baby Bran"""
,Rickon S (Rickon), Brandon S (Bran),1060552," ""had taken them down; her and Sansa and baby Bran; who'd been no bigger than Rickon"""
,Brandon S (Bran), Rickon S (Rickon),1060611," ""been no bigger than Rickon was now. They'd only had one candle between them; and Bran"""
,Brandon S (Brandon), Robb S (Robb),1060850," ""laps.  Robb took them all the way down to the end; past Grandfather and Brandon"""
,Lyanna (Lyanna), Brandon S (Brandon),1060861," ""Robb took them all the way down to the end; past Grandfather and Brandon and Lyanna"""
,Sansa S (Sansa), Brandon S (Brandon),1060898," ""to the end; past Grandfather and Brandon and Lyanna; to show them their own tombs. Sansa"""
,Arya S (Arya), Brandon S (Bran),1061264," ""when they heard the sound; low and deep and shivery. Baby Bran had clutched at Arya"""
,Brandon S (Bran), Sansa S (Sansa),1061398," ""open tomb; pale white and moaning for blood; Sansa ran shrieking for the stairs; and Bran"""
,Robb S (Robb), Brandon S (Bran),1061426," ""and moaning for blood; Sansa ran shrieking for the stairs; and Bran wrapped himself around Robb"""
,Arya S (Arya), Brandon S (Bran),1061447," ""blood; Sansa ran shrieking for the stairs; and Bran wrapped himself around Robb's leg; sobbing. Arya"""
,Brandon S (Bran), Jon S (Jon),1061645," """"you scared the baby;"" but Jon and Robb just laughed and laughed; and pretty soon Bran"""
,Brandon S (Bran), Robb S (Robb),1061645," """"you scared the baby;"" but Jon and Robb just laughed and laughed; and pretty soon Bran"""
,Arya S (Arya), Brandon S (Bran),1061654," ""the baby;"" but Jon and Robb just laughed and laughed; and pretty soon Bran and Arya"""
,Brandon S (Bran), Nan (Old Nan),1088188," ""of the Night's Watch; not the boy who'd once sat at Old Nan's feet with Bran"""
,Robb S (Robb), Brandon S (Bran),1088197," ""Night's Watch; not the boy who'd once sat at Old Nan's feet with Bran and Robb"""
,Arya S (Arya), Brandon S (Bran),1088206," ""not the boy who'd once sat at Old Nan's feet with Bran and Robb and Arya"""
,Jeor M (Commander Mormont), Brandon S (Bran),1088235," ""sat at Old Nan's feet with Bran and Robb and Arya.  Yet Lord Commander Mormont"""
,Benjen S (Ben), Brandon S (Bran),1088257," ""with Bran and Robb and Arya.  Yet Lord Commander Mormont gave a snort. ""If Ben"""
,Brandon S (Bran), Robb S (Robb),1106047," ""meant what he said. They are my brothers; he thought. As much as Robb and Bran"""
,Rickon S (Rickon), Brandon S (Bran),1106058," ""he said. They are my brothers; he thought. As much as Robb and Bran and Rickon"""
,Luwin (Maester Luwin), Brandon S (Bran),1115200," ""Bran watched them come from a guard turret atop the outer wall; peering through Maester Luwin"""
,Robb S (Robb), Brandon S (Bran),1116163," ""explained.  ""I'll take Summer;"" Bran argued.  ""Don't act the boy with me; Bran;"" Robb"""
,Roose B (Lord Bolton), Brandon S (Bran),1116234," ""Bran;"" Robb said. ""You know better than that. Only two days ago one of Lord Bolton"""
,Brandon S (Bran), Robb S (Robb the Lord),1116427," ""at risk."" He was using the voice of Robb the Lord when he said it; Bran"""
,Brandon S (Bran), Robb S (Robb),1117823," ""all of them at once; so Robb hosted each of the principal bannermen in turn. Bran"""
,Luwin (Maester Luwin), Brandon S (Bran),1118106," ""them; and him a cripple too.  ""How many is it now?"" Bran asked Maester Luwin"""
,Luwin (Maester Luwin), Brandon S (Bran),1118792," ""told you a hundred times before.""  ""Still;"" said Bran; ""how many knights?""  Maester Luwin"""
,Robb S (Robb), Brandon S (Bran),1118949," ""armored lances who are not knights.""  ""Lord Karstark is the last;"" Bran said thoughtfully. ""Robb"""
,Brandon S (Bran), Hodor (Hodor),1119906," ""the keep.""  ""Hodor;"" said Hodor.  Maester Luwin tucked the tube up his sleeve. ""Bran"""
,Brandon S (Bran), Luwin (Maester Luwin),1119906," ""the keep.""  ""Hodor;"" said Hodor.  Maester Luwin tucked the tube up his sleeve. ""Bran"""
,Brandon S (Bran), Hodor (Hodor),1120278," ""of the tower's inner wall. Hodor hummed tunelessly as he went down hand under hand; Bran"""
,Luwin (Maester Luwin), Brandon S (Bran),1120342," ""down hand under hand; Bran bouncing against his back in the wicker seat that Maester Luwin"""
