Book,Page,Chapter No,Chapter Name,POV,Character,Title,Forename,Surname,Old Surname,Alias,Regnal No,Gender,Status
A Game of Thrones,117,13,Tyrion II,Tyrion Lannister,King Mern; Of the Reach,King,Mern,,,Of the Reach,,M,D
A Game of Thrones,121,13,Tyrion II,Tyrion Lannister,Morrec,,Morrec,,,,,M,D
A Game of Thrones,123,14,Catelyn III,Catelyn Tully,Vayon Poole,,Vayon,Poole,,,,M,D
A Game of Thrones,128,14,Catelyn III,Catelyn Tully,Hallis Mollen,,Hallis,Mollen,,,,M,U
A Game of Thrones,134,15,Sansa I,Sansa Stark,Mycah,,Mycah,,,,,M,D
A Game of Thrones,140,15,Sansa I,Sansa Stark,Ser Ilyn Payne,Ser,Ilyn,Payne,,,,M,A
A Game of Thrones,141,15,Sansa I,Sansa Stark,Princess Daeryssa,Princess,Daeryssa,,,,,F,F
A Game of Thrones,142,15,Sansa I,Sansa Stark,Queen Naerys Targaryen,Queen,Naerys,Targaryen,,,,F,D
A Game of Thrones,142,15,Sansa I,Sansa Stark,Ser Morgil,Ser,Morgil,,,,,M,D
A Game of Thrones,148,16,Eddard III,Eddard Stark,Lord Raymun Darry,Lord,Raymun,Darry,,,,M,D
A Game of Thrones,159,18,Catelyn IV,Catelyn Tully,Captain Moreo Tumitis,Captain,Moreo,Tumitis,,,,M,A
A Game of Thrones,160,18,Catelyn IV,Catelyn Tully,Ser Aron Santagar,Ser,Aron,Santagar,,,,M,D
A Game of Thrones,162,18,Catelyn IV,Catelyn Tully,King Maegor I Targaryen; The Cruel,King,Maegor,Targaryen,,The Cruel,I,M,D
A Game of Thrones,169,18,Catelyn IV,Catelyn Tully,Ser Loras Tyrell; Knight of Flowers,Ser,Loras,Tyrell,,Knight of Flowers,,M,U
A Game of Thrones,170,19,Jon III,Jon Snow,Grenn; Aurochs,,Grenn,,,Aurochs,,M,A
A Game of Thrones,170,19,Jon III,Jon Snow,Ser Alliser Thorne,Ser,Alliser,Thorne,,,,M,U
A Game of Thrones,170,19,Jon III,Jon Snow,Jeren,,Jeren,,,,,M,U
A Game of Thrones,170,19,Jon III,Jon Snow,Todder; Toad,,Todder,,,Toad,,M,A
A Game of Thrones,171,19,Jon III,Jon Snow,Dareon,,Dareon,,,,,M,D
A Game of Thrones,171,19,Jon III,Jon Snow,Pypar; Pyp,,Pypar,,,Pyp,,M,A
A Game of Thrones,171,19,Jon III,Jon Snow,Halder; Stone Head,,Halder,,,Stone Head,,M,A
A Game of Thrones,172,19,Jon III,Jon Snow,Lord Commander Jeor Mormont; The Old Bear,Lord Commander,Jeor,Mormont,,The Old Bear,,M,D
A Game of Thrones,172,19,Jon III,Jon Snow,Maester Aemon (Targaryen),Maester,Aemon,,Targaryen,,,M,D
A Game of Thrones,174,19,Jon III,Jon Snow,Donal Noye,,Donal,Noye,,,,M,D
A Game of Thrones,175,19,Jon III,Jon Snow,Cotter Pyke,,Cotter,Pyke,,,,M,A
A Game of Thrones,178,19,Jon III,Jon Snow,Bowen Marsh,,Bowen,Marsh,,,,M,A
A Game of Thrones,188,20,Eddard IV,Eddard Stark,Lord Mace Tyrell,Lord,Mace,Tyrell,,,,M,A
A Game of Thrones,188,20,Eddard IV,Eddard Stark,High Septon ; The Fat One,High Septon,?,,,The Fat One,,M,D
A Game of Thrones,195,20,Eddard IV,Eddard Stark,Ser Helman Tallhart,Ser,Helman,Tallhart,,,,M,D
A Game of Thrones,195,20,Eddard IV,Eddard Stark,Lord Galbart Glover,Lord,Galbart,Glover,,,,M,U
A Game of Thrones,195,20,Eddard IV,Eddard Stark,Lord Wyman Manderly,Lord,Wyman,Manderly,,,,M,A
A Game of Thrones,198,21,Tyrion III,Tyrion Lannister,Ser Jaremy Rykker,Ser,Jaremy,Rykker,,,,M,D
A Game of Thrones,200,21,Tyrion III,Tyrion Lannister,Jyck,,Jyck,,,,,M,D
A Game of Thrones,200,21,Tyrion III,Tyrion Lannister,Lady Maege Mormont,Lady,Maege,Mormont,,,,F,A
A Game of Thrones,200,21,Tyrion III,Tyrion Lannister,Lord Yohn Royce; Bronze Yohn,Lord,Yohn,Royce,,Bronze Yohn,,M,A
A Game of Thrones,202,21,Tyrion III,Tyrion Lannister,Ser Denys Mallister,Ser,Denys,Mallister,,,,M,A
A Game of Thrones,210,22,Arya II,Arya Stark,Jeyne Poole,,Jeyne,Poole,,,,F,A
A Game of Thrones,210,22,Arya II,Arya Stark,Jacks,,Jacks,,,,,M,U
A Game of Thrones,210,22,Arya II,Arya Stark,Porther,,Porther,,,,,M,D
