Mark-Ryswell,Mark Ryswell,A Game of Thrones,Ser Mark Ryswell,,,
Maron-Botley,Maron Botley,A Clash of Kings,"Maron Botley, Old Botley/Fishwhiskers",,Old Botley/Fishwhiskers,
Maron-Greyjoy,Maron Greyjoy,A Game of Thrones,Maron Greyjoy,,,
Marq-Piper,Marq Piper,A Game of Thrones,Ser Marq Piper,,,
Martyn-Cassel,Martyn Cassel,A Game of Thrones,Martyn Cassel,,,
Martyn-Lannister,Martyn Lannister,A Game of Thrones,Martyn Lannister,,,
Martyn-Rivers,Martyn Rivers,A Game of Thrones,Martyn Rivers,,,
Marya-Seaworth,Marya Seaworth,A Clash of Kings,Marya Seaworth,,,
Mathis-Rowan,Mathis Rowan,A Game of Thrones,Lord Mathis Rowan,,,
Mathos-Mallarawan,Mathos Mallarawan,A Clash of Kings,Mathos Mallarawan,,,
Matrice,Matrice,A Clash of Kings,Matrice,,,
Matthos-Seaworth,Matthos Seaworth,A Clash of Kings,Matthos Seaworth,,,
Mebble,Mebble,A Clash of Kings,"Mebble, Pinkeye",,Pinkeye,
Medger-Cerwyn,Medger Cerwyn,A Game of Thrones,Lord Medger Cerwyn,,,
Meera-Reed,Meera Reed,A Clash of Kings,Meera Reed,,,
Melisandre,Melisandre,A Clash of Kings,"Melisandre, Of Asshai/Melony",,Of Asshai/Melony,
Merrett-Frey,Merrett Frey,A Clash of Kings,Merrett Frey,,,
Mikken,Mikken,A Game of Thrones,Mikken,,,
Minisa-Tully,Minisa Tully,A Game of Thrones,Lady Minisa Tully (Whent),Whent,,
Mirri-Maz-Duur,Mirri Maz Duur,A Game of Thrones,Mirri Maz Duur,,,
Monford-Velaryon,Monford Velaryon,A Clash of Kings,Lord Monford Velaryon,,,
Moon-Boy,Moon Boy,A Game of Thrones,Moon Boy,,,
Mord,Mord,A Game of Thrones,Mord,,,
Mordane,Mordane,A Game of Thrones,Septa Mordane,,,
Moreo-Tumitis,Moreo Tumitis,A Game of Thrones,Captain Moreo Tumitis,,,
Moro,Moro,A Game of Thrones,Khal Moro,,,
Morosh,Morosh,A Clash of Kings,"Morosh, The Myrman",,The Myrman,
Morros-Slynt,Morros Slynt,A Clash of Kings,Morros Slynt,,,
Mors-Martell,Mors Martell,A Game of Thrones,Lord Mors Martell,,,
Mors-Umber,Mors Umber,A Clash of Kings,"Mors Umber, Crowfood",,Crowfood,
Munciter,Munciter,A Clash of Kings,Munciter,,,
Murch,Murch,A Clash of Kings,Murch,,,
Mycah,Mycah,A Game of Thrones,Mycah,,,
Myles,Myles,A Clash of Kings,Myles,,,
Myrcella-Baratheon,Myrcella Baratheon,A Game of Thrones,Princess Myrcella Baratheon,,,
Naerys-Targaryen,Naerys Targaryen,A Game of Thrones,Queen Naerys Targaryen,,,
Nan,Nan,A Game of Thrones,Nan; Old Nan,,Old Nan,
Nella,Nella,A Clash of Kings,Nella,,,
Nissa-Nissa,Nissa Nissa,A Clash of Kings,Nissa Nissa,,,
Nymeria,Nymeria,A Game of Thrones,Queen Nymeria,,,
Olyvar-Frey,Olyvar Frey,A Game of Thrones,Olyvar Frey,,,
Ondrew-Locke,Ondrew Locke,A Clash of Kings,Lord Ondrew Locke,,,
Osfryd-Kettleblack,Osfryd Kettleblack,A Clash of Kings,Osfryd Kettleblack,,,
Osha,Osha,A Game of Thrones,Osha,,,
Osmund-Kettleblack,Osmund Kettleblack,A Clash of Kings,Ser Osmund Kettleblack,,,
Osmynd,Osmynd,A Clash of Kings,Septon Osmynd,,,
Osney-Kettleblack,Osney Kettleblack,A Clash of Kings,Osney Kettleblack,,,
Othor,Othor,A Game of Thrones,Othor,,,
Otter-Gimpknee,Otter Gimpknee,A Clash of Kings,Otter Gimpknee,,,
Ottyn-Wythers,Ottyn Wythers,A Clash of Kings,Ser Ottyn Wythers,,,
Palla,Palla,A Clash of Kings,"Palla, The kennel girl",,The kennel girl,
Parmen-Crane,Parmen Crane,A Clash of Kings,"Ser Parmen Crane, The Purple",,The Purple,
Patchface,Patchface,A Clash of Kings,Patchface,,,
Patrek-Mallister,Patrek Mallister,A Game of Thrones,Patrek Mallister,,,
Paxter-Redwyne,Paxter Redwyne,A Game of Thrones,Lord Paxter Redwyne,,,
Perwyn-Frey,Perwyn Frey,A Game of Thrones,Ser Perwyn Frey,,,
Petyr-Baelish,Petyr Baelish,A Game of Thrones,Lord Petyr Baelish; Littlefinger,,Littlefinger,
Philip-Foote,Philip Foote,A Clash of Kings,Ser Philip Foote,,,
Pia,Pia,A Clash of Kings,"Pia, Pretty Pia",,Pretty Pia,
Podrick-Payne,Podrick Payne,A Game of Thrones,Podrick Payne,,,
Pollitor,Pollitor,A Clash of Kings,Wisdom Pollitor,,,
Pono,Pono,A Game of Thrones,Ko Pono,,,
Porther,Porther,A Game of Thrones,Porther,,,
Poul-Pemford,Poul Pemford,A Clash of Kings,Poul Pemford,,,
Poxy-Tym,Poxy Tym,A Clash of Kings,Poxy Tym,,,
Praed,Praed,A Clash of Kings,Praed,,,
Preston-Greenfield,Preston Greenfield,A Game of Thrones,Ser Preston Greenfield,,,
Pyat-Pree,Pyat Pree,A Clash of Kings,Pyat Pree,,,
Pycelle,Pycelle,A Game of Thrones,Grand Maester Pycelle,,,
Pylos,Pylos,A Clash of Kings,Maester Pylos,,,
Qalen,Qalen,A Clash of Kings,Maester Qalen,,,
Qarl,Qarl,A Clash of Kings,"Qarl, The Maid",,The Maid,
Qhorin,Qhorin,A Game of Thrones,Qhorin; Halfhand,,Halfhand,
Quaithe,Quaithe,A Clash of Kings,"Quaithe, Of the Shadow",,Of the Shadow,
Quhuru-Mo,Quhuru Mo,A Clash of Kings,Captain Quhuru Mo,,,
Qyburn,Qyburn,A Clash of Kings,Qyburn,,,
Qyle,Qyle,A Clash of Kings,Qyle,,,
Rafford,Rafford,A Clash of Kings,"Rafford, Raff the Sweetling",,Raff the Sweetling,
Ragwyle,Ragwyle,A Clash of Kings,Ragwyle,,,
Rakharo,Rakharo,A Game of Thrones,Rakharo,,,
Ramsay-Snow,Ramsay Snow,A Clash of Kings,"Ramsay Snow, The Bastard of Bolton",,The Bastard of Bolton,
Randyll-Tarly,Randyll Tarly,A Game of Thrones,Lord Randyll Tarly,,,
Rast,Rast,A Game of Thrones,Rast,,,
Rattleshirt,Rattleshirt,A Clash of Kings,Rattleshirt,,,
Raymun-Darry,Raymun Darry,A Game of Thrones,Lord Raymun Darry,,,
Raymun-Redbeard,Raymun Redbeard,A Clash of Kings,King Raymun Redbeard,,,
Redwyn,Redwyn,A Clash of Kings,Redwyn,,,
Renly-Baratheon,Renly Baratheon,A Game of Thrones,Renly Baratheon,,,
Rey,Rey,A Clash of Kings,Rey,,,
Reysen,Reysen,A Clash of Kings,Reysen,,,
Rhaegar-Targaryen,Rhaegar Targaryen,A Game of Thrones,Prince Rhaegar Targaryen,,,
Rhaenys-Targaryen,Rhaenys Targaryen,A Game of Thrones,Princess Rhaenys Targaryen; Rhaegar's daughter,,Rhaegar's daughter,
Rhaenys-Targaryen,Rhaenys Targaryen,A Game of Thrones,Rhaenys Targaryen; Wife of Aegon I,,Wife of Aegon I,
Rickard-Karstark,Rickard Karstark,A Game of Thrones,Lord Rickard Karstark,,,
Rickard-Stark,Rickard Stark,A Game of Thrones,Lord Rickard Stark,,,
Rickard-Stark,Rickard Stark,A Game of Thrones,King Rickard Stark,,,
Rickon-Stark,Rickon Stark,A Game of Thrones,Rickon Stark,,,
Robar-Royce,Robar Royce,A Game of Thrones,Ser Robar Royce,,,
Robb-Stark,Robb Stark,A Game of Thrones,Robb Stark,,,
Robert-Baratheon,Robert Baratheon,A Game of Thrones,King Robert Baratheon,,,
Robett-Glover,Robett Glover,A Game of Thrones,Robett Glover,,,
Robin-Flint,Robin Flint,A Game of Thrones,Lord Robin Flint,,,
Robin-Ryger,Robin Ryger,A Game of Thrones,Robin Ryger,,,
Rodrik-Cassel,Rodrik Cassel,A Game of Thrones,Ser Rodrik Cassel,,,
Rodrik-Greyjoy,Rodrik Greyjoy,A Game of Thrones,Rodrik Greyjoy,,,
Rodrik-Stark,Rodrik Stark,A Game of Thrones,King Rodrik Stark,,,
Rodwell-Stark,Rodwell Stark,A Clash of Kings,Lord Rodwell Stark,,,
Roland-Crakehall,Roland Crakehall,A Game of Thrones,Lord Roland Crakehall,,,
Rolfe,Rolfe,A Clash of Kings,Rolfe,,,
Rolfe,Rolfe,A Clash of Kings,"Rolfe, Red Rolfe",,Red Rolfe,
Ronnet-Connington,Ronnet Connington,A Clash of Kings,"Ser Ronnet Connington, Red Ronnet",,Red Ronnet,
Roose-Bolton,Roose Bolton,A Game of Thrones,Lord Roose Bolton,,,
Rorge,Rorge,A Clash of Kings,Rorge,,,
Rossart,Rossart,A Clash of Kings,Lord Rossart,,,
Rowena-Arryn,Rowena Arryn,A Game of Thrones,Lady Rowena Arryn,,,
Rupert-Brax,Rupert Brax,A Clash of Kings,Ser Rupert Brax,,,
Ryam-Redwyne,Ryam Redwyne,A Game of Thrones,Ser Ryam Redwyne,,,
Ryger-Rivers,Ryger Rivers,A Game of Thrones,Ryger Rivers,,,
Rymolf-Stormdrunk,Rymolf Stormdrunk,A Clash of Kings,Rymolf Stormdrunk,,,
Rymund,Rymund,A Clash of Kings,"Rymund, The Rhymer",,The Rhymer,
Saathos,Saathos,A Clash of Kings,"Saathos, The Wise",,The Wise,
Salladhor-Saan,Salladhor Saan,A Clash of Kings,Salladhor Saan,,,
Salloreon,Salloreon,A Clash of Kings,"Salloreon, Master Armorer",,Master Armorer,
Samwell-Tarly,Samwell Tarly,A Game of Thrones,Samwell Tarly,,,
Sandor-Clegane,Sandor Clegane,A Game of Thrones,Sandor Clegane; The Hound,,The Hound,
Sansa-Stark,Sansa Stark,A Game of Thrones,Sansa Stark,,,
Sawane-Botley,Sawane Botley,A Clash of Kings,Lord Sawane Botley,,,
Selwyn-Tarth,Selwyn Tarth,A Clash of Kings,"Lord Selwyn Tarth, The Evenstar",,The Evenstar,
Selyse-Baratheon,Selyse Baratheon,A Game of Thrones,Lady Selyse Baratheon (Florent),Florent,,
Serwyn,Serwyn,A Game of Thrones,Ser Serwyn; Of the Mirror Shield,,Of the Mirror Shield,
Shadd,Shadd,A Clash of Kings,Shadd,,,
Shae,Shae,A Game of Thrones,Shae,,,
Shagga,Shagga,A Game of Thrones,Shagga; Son of Dolf,,Son of Dolf,
Shagwell,Shagwell,A Clash of Kings,"Shagwell, The Fool",,The Fool,
Shella-Whent,Shella Whent,A Game of Thrones,Lady Shella Whent,,,
Shireen-Baratheon,Shireen Baratheon,A Game of Thrones,Lady Shireen Baratheon,,,
Shitmouth,Shitmouth,A Clash of Kings,Shitmouth,,Shitmouth,
Shyra,Shyra,A Clash of Kings,Shyra,,,
Sigrin,Sigrin,A Clash of Kings,"Sigrin, The Shipwright",,The Shipwright,
Skittrick,Skittrick,A Clash of Kings,Skittrick,,,
Skyte,Skyte,A Clash of Kings,Skyte,,,
Squint,Squint,A Clash of Kings,Squint,,,
Stafford-Lannister,Stafford Lannister,A Game of Thrones,Ser Stafford Lannister,,,
Stannis-Baratheon,Stannis Baratheon,A Game of Thrones,Stannis Baratheon,,,
Steffon-Baratheon,Steffon Baratheon,A Clash of Kings,Lord Steffon Baratheon,,,
Steffon-Varner,Steffon Varner,A Clash of Kings,Lord Steffon Varner,,,
Stevron-Frey,Stevron Frey,A Game of Thrones,Ser Stevron Frey,,,
Stonesnake,Stonesnake,A Clash of Kings,Stonesnake,,,
Stygg,Stygg,A Clash of Kings,Stygg,,,
Sybassion,Sybassion,A Clash of Kings,"Sybassion, Eater of Eyes",,Eater of Eyes,
Sylas,Sylas,A Clash of Kings,"Sylas, Sourmouth",,Sourmouth,
Symeon,Symeon,A Game of Thrones,Symeon; Star-Eyes,,Star-Eyes,
Symon,Symon,A Clash of Kings,"Symon, Silver Tongue",,Silver Tongue,
Syrio-Forel,Syrio Forel,A Game of Thrones,Syrio Forel,,,
Tallad,Tallad,A Clash of Kings,"Ser Tallad, The Tall",,The Tall,
Tanda-Stokeworth,Tanda Stokeworth,A Game of Thrones,Lady Tanda Stokeworth,,,
Tanton-Fossoway,Tanton Fossoway,A Clash of Kings,Ser Tanton Fossoway,,,
Tarber,Tarber,A Clash of Kings,Tarber,,,
The-Tickler,The Tickler,A Clash of Kings,The Tickler,,,
Theo-Frey,Theo Frey,A Game of Thrones,Ser Theo Frey,,,
Theo-Wull,Theo Wull,A Game of Thrones,Theo Wull,,,
Theon-Greyjoy,Theon Greyjoy,A Game of Thrones,Theon Greyjoy,,,
Theon-Stark,Theon Stark,A Game of Thrones,King Theon Stark,,,
Thoren-Smallwood,Thoren Smallwood,A Clash of Kings,Thoren Smallwood,,,
Thoros,Thoros,A Game of Thrones,Thoros; Of Myr,,Of Myr,
Timett,Timett,A Game of Thrones,Timett; Son of Timett,,Son of Timett,
Timett,Timett,A Game of Thrones,Timett,,,
Timon,Timon,A Clash of Kings,"Ser Timon, The Scrapesword",,The Scrapesword,
Tion-Frey,Tion Frey,A Game of Thrones,Tion Frey,,,
Tobbot,Tobbot,A Clash of Kings,Tobbot,,,
Todric,Todric,A Clash of Kings,Todric,,,
Tommen-Baratheon,Tommen Baratheon,A Game of Thrones,Prince Tommen Baratheon,,,
TomToo,TomToo,A Clash of Kings,"TomToo, Son of Tomard",,Son of Tomard,
Torrhen-Karstark,Torrhen Karstark,A Game of Thrones,Torrhen Karstark,,,
Torrhen-Stark,Torrhen Stark,A Game of Thrones,King Torrhen Stark; The King who Knelt,,The King who Knelt,
Tothmure,Tothmure,A Clash of Kings,Maester Tothmure,,,
Tregar,Tregar,A Game of Thrones,Tregar,,,
Tregar-Ormollen,Tregar Ormollen,A Clash of Kings,Tregar Ormollen,,,
Trystane-Martell,Trystane Martell,A Game of Thrones,Prince Trystane Martell,,,
Tuffleberry,Tuffleberry,A Clash of Kings,Tuffleberry,,,
Turnip,Turnip,A Clash of Kings,Turnip,,,
Tygett-Lannister,Tygett Lannister,A Game of Thrones,Ser Tygett Lannister; Tyg,,Tyg,
Tymor,Tymor,A Clash of Kings,Tymor,,,
Tyrek-Lannister,Tyrek Lannister,A Game of Thrones,Tyrek Lannister,,,
Tyrion-Lannister,Tyrion Lannister,A Game of Thrones,Tyrion Lannister; The Imp,,The Imp,
Tytos-Blackwood,Tytos Blackwood,A Game of Thrones,Lord Tytos Blackwood,,,
Tytos-Brax,Tytos Brax,A Game of Thrones,Ser Tytos Brax,,,
Tytos-Lannister,Tytos Lannister,A Game of Thrones,Lord Tytos Lannister,,,
Tywin-Lannister,Tywin Lannister,A Game of Thrones,Lord Tywin Lannister,,,
Ulf,Ulf,A Game of Thrones,Ulf; Son of Umar,,Son of Umar,
Uller,Uller,A Clash of Kings,Uller,,,
Urrathon,Urrathon,A Clash of Kings,"Urrathon, Night-walker",,Night-walker,
Urreg,Urreg,A Clash of Kings,Urreg,,,
Urron-Greyiron,Urron Greyiron,A Game of Thrones,King Urron Greyiron; Redhand,,Redhand,
Urswyck,Urswyck,A Clash of Kings,"Urswyck, Faithful Urswyck",,Faithful Urswyck,
Urzen,Urzen,A Clash of Kings,Urzen,,,
Utherydes-Wayn,Utherydes Wayn,A Game of Thrones,Utherydes Wayn,,,
Utt,Utt,A Clash of Kings,Septon Utt,,,
Vardis-Egen,Vardis Egen,A Game of Thrones,Ser Vardis Egen,,,
Vargo-Hoat,Vargo Hoat,A Game of Thrones,Vargo Hoat,,,
Varys,Varys,A Game of Thrones,Varys; The Spider,,The Spider,
Vayon-Poole,Vayon Poole,A Game of Thrones,Vayon Poole,,,
Vickon-Greyjoy,Vickon Greyjoy,A Game of Thrones,Lord Vickon Greyjoy,,,
Victarion-Greyjoy,Victarion Greyjoy,A Game of Thrones,Victarion Greyjoy,,,
Visenya-Targaryen,Visenya Targaryen,A Game of Thrones,Visenya Targaryen; Wife of Aegon I,,Wife of Aegon I,
Viserys-Targaryen,Viserys Targaryen,A Game of Thrones,Prince Viserys Targaryen; The Beggar King,,The Beggar King,
Viserys-Targaryen,Viserys Targaryen,A Game of Thrones,King Viserys I Targaryen,,,I
Viserys-Targaryen,Viserys Targaryen,A Game of Thrones,King Viserys II Targaryen,,,II
Vylarr,Vylarr,A Clash of Kings,Captain Vylarr,,,
Vyman,Vyman,A Game of Thrones,Maester Vyman,,,
Walder,Walder,A Game of Thrones,Walder; Hodor,,Hodor,
Walder-Frey,Walder Frey,A Clash of Kings,"Walder Frey, Big Walder/Son of Jammos",,Big Walder/Son of Jammos,
Walder-Frey,Walder Frey,A Clash of Kings,"Walder Frey, Little Walder/Son of Merrett",,Little Walder/Son of Merrett,
Walder-Frey,Walder Frey,A Clash of Kings,"Walder Frey, Black Walder/Son of Ryman",,Black Walder/Son of Ryman,
Walder-Frey,Walder Frey,A Clash of Kings,"Walder Frey, Red Walder/Son of Emmon",,Red Walder/Son of Emmon,
Walder-Frey,Walder Frey,A Game of Thrones,Lord Walder Frey; The Late Lord Frey,,The Late Lord Frey,
Walder-Rivers,Walder Rivers,A Clash of Kings,"Walder Rivers, Bastard Walder",,Bastard Walder,
Walton,Walton,A Clash of Kings,"Walton, Steelshanks",,Steelshanks,
Walton-Stark,Walton Stark,A Clash of Kings,"King Walton Stark, The Moon King",,The Moon King,
Waltyr-Frey,Waltyr Frey,A Clash of Kings,"Waltyr Frey, Tyr",,Tyr,
Wat,Wat,A Clash of Kings,"Wat, Whitesmile Wat",,Whitesmile Wat,
Waymar-Royce,Waymar Royce,A Game of Thrones,Ser Waymar Royce,,,
Wayn,Wayn,A Game of Thrones,Wayn,,,
Weasel,Weasel,A Clash of Kings,Weasel,,,
Weeping-Man,Weeping Man,A Clash of Kings,The Weeping Man,,The Weeping Man,
Weese,Weese,A Clash of Kings,Weese,,,
Wendamyr,Wendamyr,A Clash of Kings,Maester Wendamyr,,,
Wendel-Manderly,Wendel Manderly,A Game of Thrones,Ser Wendel Manderly,,,
Wendello-Qar-Deeth,Wendello Qar Deeth,A Clash of Kings,Wendello Qar Deeth,,,
Werlag,Werlag,A Clash of Kings,Werlag,,,
Wex-Pyke,Wex Pyke,A Clash of Kings,Wex Pyke,,,
Will,Will,A Game of Thrones,Will,,,
Willam-Dustin,Willam Dustin,A Game of Thrones,Lord Willam Dustin,,,
Willam-Stark,Willam Stark,A Clash of Kings,Lord Willam Stark,,,
Willem-Darry,Willem Darry,A Game of Thrones,Ser Willem Darry,,,
Willem-Lannister,Willem Lannister,A Game of Thrones,Willem Lannister,,,
William-Mooton,William Mooton,A Clash of Kings,Lord William Mooton,,,
Willit,Willit,A Clash of Kings,Willit,,,
Woth,Woth,A Clash of Kings,Woth,,,
Wyl,Wyl,A Game of Thrones,Wyl,,,
Wylis-Manderly,Wylis Manderly,A Game of Thrones,Ser Wylis Manderly,,,
Wyman-Manderly,Wyman Manderly,A Game of Thrones,Lord Wyman Manderly,,,
Xaro-Xhoan-Daxos,Xaro Xhoan Daxos,A Clash of Kings,Xaro Xhoan Daxos,,,
Ygritte,Ygritte,A Clash of Kings,Ygritte,,,
Yohn-Royce,Yohn Royce,A Game of Thrones,Lord Yohn Royce; Bronze Yohn,,Bronze Yohn,
Yoren,Yoren,A Game of Thrones,Yoren,,,
