Jonquil,Jonquil,A Game of Thrones,461,44,Sansa III,Sansa Stark,Jonquil,,Jonquil,,,,,F,F
Jorah-Mormont,Jorah Mormont,A Game of Thrones,33,3,Daenerys I,Daenerys Targaryen,Ser Jorah Mormont,Ser,Jorah,Mormont,,,,M,A
Jory-Cassel,Jory Cassel,A Game of Thrones,14,1,Bran I,Bran Stark,Jory Cassel,,Jory,Cassel,,,,M,D
Joseth,Joseth,A Game of Thrones,383,37,Bran V,Bran Stark,Joseth,,Joseth,,,,,M,U
Joss,Joss,A Game of Thrones,447,43,Eddard XI,Eddard Stark,Joss,,Joss,,,,,M,A
Karyl-Vance,Karyl Vance,A Game of Thrones,447,43,Eddard XI,Eddard Stark,Ser Karyl Vance,Ser,Karyl,Vance,,,,M,A
Kevan-Lannister,Kevan Lannister,A Game of Thrones,490,47,Eddard XIII,Eddard Stark,Ser Kevan Lannister,Ser,Kevan,Lannister,,,,M,D
Kyra,Kyra,A Game of Thrones,384,37,Bran V,Bran Stark,Kyra,,Kyra,,,,,F,D
Lancel-Lannister,Lancel Lannister,A Game of Thrones,297,30,Eddard VII,Eddard Stark,Lancel Lannister,,Lancel,Lannister,,,,M,A
Lann,Lann,A Game of Thrones,266,27,Eddard VI,Eddard Stark,Lann; The Clever,,Lann,,,The Clever,,M,F
Leo-Lefford,Leo Lefford,A Game of Thrones,652,62,Tyrion VIII,Tyrion Lannister,Lord Leo Lefford,Lord,Leo,Lefford,,,,M,D
Lew,Lew,A Game of Thrones,69,7,Arya I,Arya Stark,Lew,,Lew,,,,,M,U
Lewys-Lydden,Lewys Lydden,A Game of Thrones,660,62,Tyrion VIII,Tyrion Lannister,Lord Lewys Lydden,Lord,Lewys,Lydden,,,,M,U
Loras-Tyrell,Loras Tyrell,A Game of Thrones,169,18,Catelyn IV,Catelyn Tully,Ser Loras Tyrell; Knight of Flowers,Ser,Loras,Tyrell,,Knight of Flowers,,M,U
Lothor-Brune,Lothor Brune,A Game of Thrones,285,29,Sansa II,Sansa Stark,Lothor Brune,,Lothor,Brune,,,,M,A
Luwin,Luwin,A Game of Thrones,22,2,Catelyn I,Catelyn Tully,Maester Luwin,Maester,Luwin,,,,,M,D
Lyanna-Stark,Lyanna Stark,A Game of Thrones,40,4,Eddard I,Eddard Stark,Lyanna Stark,,Lyanna,Stark,,,,F,D
Lyn-Corbray,Lyn Corbray,A Game of Thrones,359,34,Catelyn VI,Catelyn Tully,Ser Lyn Corbray,Ser,Lyn,Corbray,,,,M,A
Lysa-Arryn,Lysa Arryn,A Game of Thrones,23,2,Catelyn I,Catelyn Tully,Lady Lysa Arryn (Tully),Lady,Lysa,Arryn,Tully,,,F,D
Mace-Tyrell,Mace Tyrell,A Game of Thrones,188,20,Eddard IV,Eddard Stark,Lord Mace Tyrell,Lord,Mace,Tyrell,,,,M,A
Maege-Mormont,Maege Mormont,A Game of Thrones,200,21,Tyrion III,Tyrion Lannister,Lady Maege Mormont,Lady,Maege,Mormont,,,,F,A
Maegor-Targaryen,Maegor Targaryen,A Game of Thrones,162,18,Catelyn IV,Catelyn Tully,King Maegor I Targaryen; The Cruel,King,Maegor,Targaryen,,The Cruel,I,M,D
Maekar-Targaryen,Maekar Targaryen,A Game of Thrones,243,25,Eddard V,Eddard Stark,King Maekar I Targaryen,King,Maekar,Targaryen,,,I,M,D
Mance-Rayder,Mance Rayder,A Game of Thrones,11,1,Bran I,Bran Stark,King Mance Rayder; King-Beyond-the-Wall,King,Mance,Rayder,,King-Beyond-the-Wall,,M,A
Mandon-Moore,Mandon Moore,A Game of Thrones,532,51,Sansa IV,Sansa Stark,Ser Mandon Moore,Ser,Mandon,Moore,,,,M,D
Margaery-Tyrell,Margaery Tyrell,A Game of Thrones,268,27,Eddard VI,Eddard Stark,Lady Margaery Tyrell,Lady,Margaery,Tyrell,,,,F,A
Marillion,Marillion,A Game of Thrones,280,28,Catelyn V,Catelyn Tully,Marillion,,Marillion,,,,,M,D
Mark-Ryswell,Mark Ryswell,A Game of Thrones,409,39,Eddard X,Eddard Stark,Ser Mark Ryswell,Ser,Mark,Ryswell,,,,M,D
Marq-Piper,Marq Piper,A Game of Thrones,449,43,Eddard XI,Eddard Stark,Ser Marq Piper,Ser,Marq,Piper,,,,M,A
Martyn-Cassel,Martyn Cassel,A Game of Thrones,409,39,Eddard X,Eddard Stark,Martyn Cassel,,Martyn,Cassel,,,,M,D
Martyn-Rivers,Martyn Rivers,A Game of Thrones,285,29,Sansa II,Sansa Stark,Martyn Rivers,,Martyn,Rivers,,,,M,U
Mathis-Rowan,Mathis Rowan,A Game of Thrones,261,26,Jon IV,Jon Snow,Lord Mathis Rowan,Lord,Mathis,Rowan,,,,M,A
Medger-Cerwyn,Medger Cerwyn,A Game of Thrones,550,53,Bran VI,Bran Stark,Lord Medger Cerwyn,Lord,Medger,Cerwyn,,,,M,D
Mikken,Mikken,A Game of Thrones,73,8,Bran II,Bran Stark,Mikken,,Mikken,,,,,M,D
Mirri-Maz-Duur,Mirri Maz Duur,A Game of Thrones,647,61,Daenerys VII,Daenerys Targaryen,Mirri Maz Duur,,Mirri,Maz Duur,,,,F,D
Moon-Boy,Moon Boy,A Game of Thrones,290,29,Sansa II,Sansa Stark,Moon Boy,,Moon Boy,,,,,M,A
Mord,Mord,A Game of Thrones,395,37,Bran V,Bran Stark,Mord,,Mord,,,,,M,A
Mordane,Mordane,A Game of Thrones,64,7,Arya I,Arya Stark,Septa Mordane,Septa,Mordane,,,,,F,D
Moreo-Tumitis,Moreo Tumitis,A Game of Thrones,159,18,Catelyn IV,Catelyn Tully,Captain Moreo Tumitis,Captain,Moreo,Tumitis,,,,M,A
Moro,Moro,A Game of Thrones,33,3,Daenerys I,Daenerys Targaryen,Khal Moro,Khal,Moro,,,,,M,A
Mycah,Mycah,A Game of Thrones,134,15,Sansa I,Sansa Stark,Mycah,,Mycah,,,,,M,D
Myrcella-Baratheon,Myrcella Baratheon,A Game of Thrones,47,5,Jon I,Jon Snow,Princess Myrcella Baratheon,Princess,Myrcella,Baratheon,,,,F,A
