Sylas,Sylas,A Clash of Kings,156,11,Theon I,Theon Greyjoy,"Sylas, Sourmouth",,Sylas,,,Sourmouth,,M,D
Helya,Helya,A Clash of Kings,163,11,Theon I,Theon Greyjoy,Helya,,Helya,,,,,F,A
Qalen,Qalen,A Clash of Kings,164,11,Theon I,Theon Greyjoy,Maester Qalen,Maester,Qalen,,,,,M,D
Wendamyr,Wendamyr,A Clash of Kings,164,11,Theon I,Theon Greyjoy,Maester Wendamyr,Maester,Wendamyr,,,,,M,A
Lynesse-Mormont,Lynesse Mormont,A Clash of Kings,178,12,Daenerys I,Daenerys Targaryen,Lynesse Mormont (Hightower),,Lynesse,Mormont,Hightower,,,F,A
Tregar-Ormollen,Tregar Ormollen,A Clash of Kings,181,12,Daenerys I,Daenerys Targaryen,Tregar Ormollen,,Tregar,Ormollen,,,,M,A
Pyat-Pree,Pyat Pree,A Clash of Kings,183,12,Daenerys I,Daenerys Targaryen,Pyat Pree,,Pyat,Pree,,,,M,U
Quaithe,Quaithe,A Clash of Kings,183,12,Daenerys I,Daenerys Targaryen,"Quaithe, Of the Shadow",,Quaithe,,,Of the Shadow,,F,A
Xaro-Xhoan-Daxos,Xaro Xhoan Daxos,A Clash of Kings,183,12,Daenerys I,Daenerys Targaryen,Xaro Xhoan Daxos,,Xaro,Xhoan Daxos,,,,M,A
Eddison-Tollett,Eddison Tollett,A Clash of Kings,186,13,Jon II,Jon Snow,"Eddison Tollett, Dolorous Edd",,Eddison,Tollett,,Dolorous Edd,,M,A
Jarman-Buckwell,Jarman Buckwell,A Clash of Kings,187,13,Jon II,Jon Snow,Jarman Buckwell,,Jarman,Buckwell,,,,M,D
Bedwyck,Bedwyck,A Clash of Kings,188,13,Jon II,Jon Snow,"Bedwyck, Giant",,Bedwyck,,,Giant,,M,A
Mallador-Locke,Mallador Locke,A Clash of Kings,188,13,Jon II,Jon Snow,Ser Mallador Locke,Ser,Mallador,Locke,,,,M,D
Ottyn-Wythers,Ottyn Wythers,A Clash of Kings,188,13,Jon II,Jon Snow,Ser Ottyn Wythers,Ser,Ottyn,Wythers,,,,M,D
Gerren,Gerren,A Clash of Kings,192,14,Arya IV,Arya Stark,Gerren,,Gerren,,,,,M,D
Woth,Woth,A Clash of Kings,192,14,Arya IV,Arya Stark,Woth,,Woth,,,,,M,D
Rey,Rey,A Clash of Kings,194,14,Arya IV,Arya Stark,Rey,,Rey,,,,,M,U
Urreg,Urreg,A Clash of Kings,201,14,Arya IV,Arya Stark,Urreg,,Urreg,,,,,M,D
Qyle,Qyle,A Clash of Kings,203,14,Arya IV,Arya Stark,Qyle,,Qyle,,,,,M,D
