A Clash of Kings (Appendix),Rhea-Hightower,Rhea Hightower,Lady Rhea Hightower (Florent),Lady,Rhea,Hightower,Florent,
A Clash of Kings (Appendix),Rickard-Wylde,Rickard Wylde,Rickard Wylde,,Rickard,Wylde,,
A Clash of Kings (Appendix),Robert-Brax,Robert Brax,Ser Robert Brax; Brother of Flement,Ser,Robert,Brax,,Brother of Flement
A Clash of Kings (Appendix),Robert-Brax,Robert Brax,Robert Brax; Son of Flement,,Robert,Brax,,Son of Flement
A Clash of Kings (Appendix),Robert-Frey,Robert Frey,Robert Frey; Son of Rhaegar Frey,,Robert,Frey,,Son of Rhaegar Frey
A Clash of Kings (Appendix),Robert-Frey,Robert Frey,Robert Frey,,Robert,Frey,,
A Clash of Kings (Appendix),Rodrik-Harlaw,Rodrik Harlaw,Lord Rodrik Harlaw; The Reader,Lord,Rodrik,Harlaw,,The Reader
A Clash of Kings (Appendix),Ronel-Rivers,Ronel Rivers,Ronel Rivers,,Ronel,Rivers,,
A Clash of Kings (Appendix),Roslin-Frey,Roslin Frey,Roslin Frey,,Roslin,Frey,,
A Clash of Kings (Appendix),Ryam-Florent,Ryam Florent,Ser Ryam Florent,Ser,Ryam,Florent,,
A Clash of Kings (Appendix),Rycherd-Crane,Rycherd Crane,Ser Rycherd Crane,Ser,Rycherd,Crane,,
A Clash of Kings (Appendix),Ryella-Frey,Ryella Frey,Ryella Frey (Royce),,Ryella,Frey,Royce,
A Clash of Kings (Appendix),Ryella-Frey,Ryella Frey,Ryella Frey; Daughter of Arwood,,Ryella,Frey,,Daughter of Arwood
A Clash of Kings (Appendix),Rylene-Crane,Rylene Crane,Rylene Crane (Florent),,Rylene,Crane,Florent,
A Clash of Kings (Appendix),Ryman-Frey,Ryman Frey,Ser Ryman Frey,Ser,Ryman,Frey,,
A Clash of Kings (Appendix),Sallei-Frey,Sallei Frey,Sallei Frey (Paege),,Sallei,Frey,Paege,
A Clash of Kings (Appendix),Sandor-Frey,Sandor Frey,Sandor Frey,,Sandor,Frey,,
A Clash of Kings (Appendix),Sarra-Frey,Sarra Frey,Sarra Frey,,Sarra,Frey,,
A Clash of Kings (Appendix),Sarya-Frey,Sarya Frey,Lady Sarya Frey (Whent),Lady,Sarya,Frey,Whent,
A Clash of Kings (Appendix),Serra-Frey,Serra Frey,Serra Frey,,Serra,Frey,,
A Clash of Kings (Appendix),Shirei-Frey,Shirei Frey,Shirei Frey,,Shirei,Frey,,
A Clash of Kings (Appendix),Shyra-Errol,Shyra Errol,Lady Shyra Errol,Lady,Shyra,Errol,,
A Clash of Kings (Appendix),Sparr,Sparr,Lord Sparr; The Sparr,Lord,?,Sparr,,The Sparr
A Clash of Kings (Appendix),Stannis-Seaworth,Stannis Seaworth,Stannis Seaworth,,Stannis,Seaworth,,
A Clash of Kings (Appendix),Steffon-Frey,Steffon Frey,Steffon Frey; Son of Walton; The Sweet,,Steffon,Frey,,Son of Walton; The Sweet
A Clash of Kings (Appendix),Steffon-Seaworth,Steffon Seaworth,Steffon Seaworth,,Steffon,Seaworth,,
A Clash of Kings (Appendix),Stonehouse,Stonehouse,Lord Stonehouse; The Stonehouse,Lord,?,Stonehouse,,The Stonehouse
A Clash of Kings (Appendix),Sunderly,Sunderly,Lord Sunderly,Lord,?,Sunderly,,
A Clash of Kings (Appendix),Sybelle-Glover,Sybelle Glover,Lady Sybelle Glover,Lady,Sybelle,Glover,,
A Clash of Kings (Appendix),Sylwa-Frey,Sylwa Frey,Sylwa Frey (Paege),,Sylwa,Frey,Paege,
A Clash of Kings (Appendix),Symond-Frey,Symond Frey,Symond Frey,,Symond,Frey,,
A Clash of Kings (Appendix),Tyana-Frey,Tyana Frey,Tyana Frey (Wylde),,Tyana,Frey,Wylde,
A Clash of Kings (Appendix),Tysane-Frey,Tysane Frey,Tysane Frey,,Tysane,Frey,,
A Clash of Kings (Appendix),Tyta-Frey,Tyta Frey,Tyta Frey; The Maid,,Tyta,Frey,,The Maid
A Clash of Kings (Appendix),Tytos-Frey,Tytos Frey,Ser Tytos Frey,Ser,Tytos,Frey,,
A Clash of Kings (Appendix),Tywin-Frey,Tywin Frey,Tywin Frey; Son of Ser Cleos,,Tywin,Frey,,Son of Ser Cleos
A Clash of Kings (Appendix),Walda-Frey,Walda Frey,Walda Frey; Daughter of Edwyn,,Walda,Frey,,Daughter of Edwyn
A Clash of Kings (Appendix),Walda-Frey,Walda Frey,Walda Frey; Daughter of Walton; Fair Walda,,Walda,Frey,,Daughter of Walton; Fair Walda
A Clash of Kings (Appendix),Walda-Frey,Walda Frey,Walda Frey; Daughter of Rhaegar Frey; White Walda,,Walda,Frey,,Daughter of Rhaegar Frey; White Walda
A Clash of Kings (Appendix),Walda-Frey,Walda Frey,Walda Frey; Fat Walda; Daughter of Merrett,,Walda,Frey,,Fat Walda; Daughter of Merrett
A Clash of Kings (Appendix),Walda-Frey,Walda Frey,Walda Frey; Daughter of Lothar,,Walda,Frey,,Daughter of Lothar
A Clash of Kings (Appendix),Walda-Rivers,Walda Rivers,Walda Rivers,,Walda,Rivers,,
A Clash of Kings (Appendix),Walder-Brax,Walder Brax,Walder Brax,,Walder,Brax,,
A Clash of Kings (Appendix),Walder-Goodbrook,Walder Goodbrook,Walder Goodbrook,,Walder,Goodbrook,,
A Clash of Kings (Appendix),Walder-Haigh,Walder Haigh,Walder Haigh,,Walder,Haigh,,
A Clash of Kings (Appendix),Walder-Vance,Walder Vance,Walder Vance,,Walder,Vance,,
A Clash of Kings (Appendix),Waldon-Wynch,Waldon Wynch,Lord Waldon Wynch,Lord,Waldon,Wynch,,
A Clash of Kings (Appendix),Walton-Frey,Walton Frey,Walton Frey; Son of Stevron,,Walton,Frey,,Son of Stevron
A Clash of Kings (Appendix),Wendel-Frey,Wendel Frey,Wendel Frey,,Wendel,Frey,,
A Clash of Kings (Appendix),Whalen-Frey,Whalen Frey,Ser Whalen Frey,Ser,Whalen,Frey,,
A Clash of Kings (Appendix),Willamen,Willamen,Maester Willamen (Frey),Maester,Willamen,,Frey,
A Clash of Kings (Appendix),Willem-Frey,Willem Frey,Willem Frey,,Willem,Frey,,
A Clash of Kings (Appendix),Wynafrei-Frey,Wynafrei Frey,Wynafrei Frey (Whent),,Wynafrei,Frey,Whent,
A Clash of Kings (Appendix),Zachery-Frey,Zachery Frey,Zachery Frey,,Zachery,Frey,,
A Clash of Kings (Appendix),Zhoe-Frey,Zhoe Frey,Zhoe Frey (Blanetree),,Zhoe,Frey,Blanetree,
A Clash of Kings (Appendix),Zia-Frey,Zia Frey,Zia Frey,,Zia,Frey,,
