Greatjon Encounters:
Robb (Robb), Greatjon (Greatjon), 1191250, "confidence? �Your father once told me that the Greatjon was as fearless as any man he had ever known.�  Robb"
Rickard (Rickard), Greatjon (Greatjon), 1260164, "closed and barred.  The Greatjon began to curse and swear as soon as he saw what awaited them. Lord Rickard"
Robb (Robb), Greatjon (Greatjon), 1262546, "will go,� she said loudly.  �You, my lady?� The Greatjon furrowed his brow.  �Mother, are you certain?� Clearly, Robb"
Catelyn (Catelyn), Greatjon (Greatjon), 1262578, "�You, my lady?� The Greatjon furrowed his brow.  �Mother, are you certain?� Clearly, Robb was not.  �Never more,� Catelyn"
Walder (Walder), Greatjon (Greatjon), 1262604, "Greatjon furrowed his brow.  �Mother, are you certain?� Clearly, Robb was not.  �Never more,� Catelyn lied glibly. �Lord Walder"
Greatjon (Greatjon), Theon (Theon), 1377487, "know.�  A mob of men followed him up the slope, dirty and dented and grinning, with Theon and the Greatjon"
Jaime (Jaime), Greatjon (Greatjon), 1377538, "the slope, dirty and dented and grinning, with Theon and the Greatjon at their head. Between them they dragged Ser Jaime"
Catelyn (Catelyn), Greatjon (Greatjon), 1378731, "Greatjon agreed, gesturing. Lannister was led away to be bandaged and chained.  �Why should Lord Karstark want him dead?� Catelyn"
Greatjon (Greatjon), Lefford (Lord Lefford), 1506903, "led a sortie across the drawbridge and took them in the rear.�  �Gods save us,� Lord Lefford swore.  �Greatjon"
Greatjon (Greatjon), Tytos (Tytos Blackwood), 1506903, "led a sortie across the drawbridge and took them in the rear.�  �Gods save us,� Lord Lefford swore.  �Greatjon"
Tytos (Lord Blackwood), Greatjon (Greatjon Umber), 1506969, "rear.�  �Gods save us,� Lord Lefford swore.  �Greatjon Umber fired the siege towers we were building, and Lord Blackwood"
Edmure (Ser Edmure), Greatjon (Greatjon Umber), 1506986, "save us,� Lord Lefford swore.  �Greatjon Umber fired the siege towers we were building, and Lord Blackwood found Ser Edmure"
Greatjon (Greatjon), Brynden (Brynden), 1545676, "at their oars. Theon Greyjoy was with him. Her uncle Brynden would come behind in the second boat, with the Greatjon"
Greatjon (Greatjon), Theon (Theon Greyjoy), 1545676, "at their oars. Theon Greyjoy was with him. Her uncle Brynden would come behind in the second boat, with the Greatjon"
Catelyn (Catelyn), Greatjon (Greatjon), 1545704, "was with him. Her uncle Brynden would come behind in the second boat, with the Greatjon and Lord Karstark.  Catelyn"
Rickard (Rickard), Greatjon (Greatjon Umber), 1556951, "him, the point thrust in the earth, his gloved hands clasped around the hilt. Around him others knelt: Greatjon Umber, Rickard"
Maege (Maege), Greatjon (Greatjon Umber), 1556967, "point thrust in the earth, his gloved hands clasped around the hilt. Around him others knelt: Greatjon Umber, Rickard Karstark, Maege"
Galbart (Galbart), Greatjon (Greatjon Umber), 1556984, "in the earth, his gloved hands clasped around the hilt. Around him others knelt: Greatjon Umber, Rickard Karstark, Maege Mormont, Galbart"
Tytos (Tytos), Greatjon (Greatjon Umber), 1557013, "hands clasped around the hilt. Around him others knelt: Greatjon Umber, Rickard Karstark, Maege Mormont, Galbart Glover, and more. Even Tytos"
Greatjon (Greatjon), Catelyn (Catelyn), 1560294, " The northern lords sat opposite, with Catelyn and Robb facing her brother across the tables. They were fewer. The Greatjon"
Greatjon (Greatjon), Robb (Robb), 1560294, " The northern lords sat opposite, with Catelyn and Robb facing her brother across the tables. They were fewer. The Greatjon"
Robb (Robb), Greatjon (Greatjon), 1560306, "lords sat opposite, with Catelyn and Robb facing her brother across the tables. They were fewer. The Greatjon sat at Robb"
Theon (Theon), Greatjon (Greatjon), 1560334, "and Robb facing her brother across the tables. They were fewer. The Greatjon sat at Robb�s left hand, and then Theon"
Galbart (Galbart), Greatjon (Greatjon), 1560351, "facing her brother across the tables. They were fewer. The Greatjon sat at Robb�s left hand, and then Theon Greyjoy; Galbart"
Maege (Lady Mormont), Greatjon (Greatjon), 1560375, "the tables. They were fewer. The Greatjon sat at Robb�s left hand, and then Theon Greyjoy; Galbart Glover and Lady Mormont"
Maege (Lady Mormont), Greatjon (Greatjon), 1564507, "outrage drowned out his voice. �Craven!� the Greatjon thundered. �Begging for a truce will make us seem weak,� declared Lady Mormont"
Greatjon (Greatjon), Catelyn (Catelyn), 1568379, "on the table.  Catelyn was thinking of her girls, wondering if she would ever see them again, when the Greatjon"
Maege (Maege), Greatjon (Greatjon), 1569425, "well.� He eased his longsword from its scabbard. �The King in the North!� he said, kneeling beside the Greatjon.  Maege"
