id,label,timeset,degree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality,Closeness Centrality
Rakharo,Rakharo,,3,17,5,0.296912114,0.325333333,0.5,3,0.004708648,0,0.666666667,2,0.019210497,3.368
Quaro,Quaro,,3,15,5,0.296912114,0.325333333,0.5,3,0.004692445,0,0.666666667,2,0.019756442,3.368
Lyanna,Lyanna,,4,33,4,0.388198758,0.419333333,1.273051948,0,0.004594796,0,0.833333333,5,0.170843146,2.576
Aerys T,Aerys,,4,30,4,0.383435583,0.414,0.438034188,0,0.004570135,0,0.833333333,5,0.159529164,2.608
Chett,Chett,,3,17,5,0.339673913,0.368133333,0,1,0.004535424,0,1,3,0.049195059,2.944
Jhiqui,Jhiqui,,3,51,5,0.296912114,0.325333333,0,3,0.004528276,0,1,3,0.020798301,3.368
Mirri M,Mirri,,3,47,5,0.298329356,0.328,0,3,0.004494552,0,1,3,0.024052868,3.352
Tommen,Tommen,,4,23,5,0.349162011,0.384133333,1.71047286,4,0.004486052,0,0.666666667,4,0.118615248,2.864
Mycah,Mycah,,4,45,5,0.350140056,0.383866667,0,4,0.004398639,0,1,6,0.141067777,2.856
Galbart G,Galbart,,3,13,5,0.343406593,0.370533333,0,5,0.004141459,0,1,3,0.063173016,2.912
Yoren,Yoren,,3,19,5,0.366568915,0.400533333,0,1,0.004084437,0,1,3,0.097251385,2.728
Alyn,Alyn,,3,25,4,0.377643505,0.404666667,0,0,0.004081204,0,1,3,0.097159117,2.648
Harwin,Harwin,,3,14,4,0.377643505,0.404666667,0,0,0.004081204,0,1,3,0.097159117,2.648
Hoster T,Hoster,,3,15,5,0.348189415,0.3772,0.6,5,0.003989251,0,0.666666667,2,0.069330654,2.872
Conn,Conn,,2,14,5,0.349162011,0.376533333,0,2,0.003968285,0,1,1,0.050779685,2.864
Syrio F,Syrio,,3,30,4,0.383435583,0.411333333,7.8870782,4,0.003926144,0,0.333333333,1,0.101507449,2.608
Kevan L,Kevan,,3,27,5,0.362318841,0.3952,0,2,0.003853043,0,1,3,0.105591701,2.76
Boros B,Boros,,3,17,5,0.349162011,0.3792,0.80728022,4,0.003845246,0,0.666666667,2,0.089616407,2.864
Hallis M,Hallis,,3,13,5,0.356125356,0.3872,0,5,0.003805397,0,1,3,0.108443541,2.808
Jyck,Jyck,,2,11,5,0.348189415,0.3752,0,2,0.003745955,0,1,1,0.050596213,2.872
Morrec,Morrec,,2,10,5,0.348189415,0.3752,0,2,0.003745955,0,1,1,0.050596213,2.872
Jeyne P,Jeyne,,3,42,5,0.344352617,0.3732,0,4,0.003688838,0,1,3,0.094275309,2.904
Janos S,Janos,,3,12,4,0.381097561,0.408666667,0,0,0.003583677,0,1,3,0.140481723,2.624
Jaremy R,Jaremy,,2,8,5,0.337837838,0.3628,0,1,0.003281637,0,1,1,0.04446991,2.96
Chiggen,Chiggen,,2,12,5,0.348189415,0.3752,0,2,0.003164577,0,1,1,0.057615009,2.872
Cayn,Cayn,,2,13,4,0.375375375,0.399333333,0,0,0.003124651,0,1,1,0.070599261,2.664
Nan,Old Nan,,2,22,5,0.329815303,0.351466667,0,5,0.003118678,0,1,1,0.041009516,3.032
Robert A,Robert Arryn,,2,14,5,0.350140056,0.377866667,0,2,0.003035999,0,1,1,0.067992963,2.856
Timett,Timett,,1,4,6,0.25987526,0.274133333,0,2,0.003005168,0,0,0,0.003975975,3.848
Beric D,Beric,,2,9,5,0.340599455,0.3652,0,4,0.002951932,0,1,1,0.056343634,2.936
Roose B,Roose,,2,9,5,0.349162011,0.3752,0,5,0.002941819,0,1,1,0.067054584,2.864
Osha,Osha,,2,21,5,0.329815303,0.351466667,0,5,0.00293141,0,1,1,0.055057104,3.032
Hal M,Hal,,2,11,5,0.355113636,0.3832,0,5,0.002924304,0,1,1,0.088414457,2.816
Raymun D,Raymun,,2,9,4,0.377643505,0.402,0,0,0.002831494,0,1,1,0.115006756,2.648
Karyl V,Karyl,,1,6,6,0.242248062,0.254533333,0,5,0.002726486,0,0,0,0.002648993,4.128
Colemon,Colemon,,1,4,6,0.269396552,0.286533333,0,2,0.002371916,0,0,0,0.008474966,3.712
Randyll T,Randyll,,1,5,6,0.26652452,0.285866667,0,1,0.002333322,0,0,0,0.008187927,3.752
Ogo,Ogo,,1,10,6,0.235404896,0.260266667,0,3,0.002327321,0,0,0,0.00657877,4.248
